monotonic_ns,seq,timestamp,marker,payload_type,packet_bytes,ssrc,seq_delta,ts_delta,wall_delta_ns
1723922446105000,8259,2496792233,1,0,172,230704765,0,0,0
1723922466009000,8260,2496792393,0,0,172,230704765,1,160,19904000
1723922485982000,8261,2496792553,0,0,172,230704765,1,160,19973000
1723922506077000,8262,2496792713,0,0,172,230704765,1,160,20095000
1723922526027000,8263,2496792873,0,0,172,230704765,1,160,19950000
1723922545968000,8264,2496793033,0,0,172,230704765,1,160,19941000
1723922565968000,8265,2496793193,0,0,172,230704765,1,160,20000000
1723922585845000,8266,2496793353,0,0,172,230704765,1,160,19877000
1723922606181000,8267,2496793513,0,0,172,230704765,1,160,20336000
1723922625996000,8268,2496793673,0,0,172,230704765,1,160,19815000
1723922645998000,8269,2496793833,0,0,172,230704765,1,160,20002000
1723922666094000,8270,2496793993,0,0,172,230704765,1,160,20096000
1723922686057000,8271,2496794153,0,0,172,230704765,1,160,19963000
1723922706399000,8272,2496794313,0,0,172,230704765,1,160,20342000
1723922725938000,8273,2496794473,0,0,172,230704765,1,160,19539000
1723922746229000,8274,2496794633,0,0,172,230704765,1,160,20291000
1723922766043000,8275,2496794793,0,0,172,230704765,1,160,19814000
1723922785968000,8276,2496794953,0,0,172,230704765,1,160,19925000
1723922806174000,8277,2496795113,0,0,172,230704765,1,160,20206000
1723922825956000,8278,2496795273,0,0,172,230704765,1,160,19782000
1723922845870000,8279,2496795433,0,0,172,230704765,1,160,19914000
1723922865622000,8280,2496795593,0,0,172,230704765,1,160,19752000
1723922885937000,8281,2496795753,0,0,172,230704765,1,160,20315000
1723922906077000,8282,2496795913,0,0,172,230704765,1,160,20140000
1723922926004000,8283,2496796073,0,0,172,230704765,1,160,19927000
1723922945918000,8284,2496796233,0,0,172,230704765,1,160,19914000
1723922965974000,8285,2496796393,0,0,172,230704765,1,160,20056000
1723922985970000,8286,2496796553,0,0,172,230704765,1,160,19996000
1723923006397000,8287,2496796713,0,0,172,230704765,1,160,20427000
1723923025957000,8288,2496796873,0,0,172,230704765,1,160,19560000
1723923045749000,8289,2496797033,0,0,172,230704765,1,160,19792000
1723923065983000,8290,2496797193,0,0,172,230704765,1,160,20234000
1723923086040000,8291,2496797353,0,0,172,230704765,1,160,20057000
1723923106059000,8292,2496797513,0,0,172,230704765,1,160,20019000
1723923125999000,8293,2496797673,0,0,172,230704765,1,160,19940000
1723923146060000,8294,2496797833,0,0,172,230704765,1,160,20061000
1723923165974000,8295,2496797993,0,0,172,230704765,1,160,19914000
1723923185960000,8296,2496798153,0,0,172,230704765,1,160,19986000
1723923206041000,8297,2496798313,0,0,172,230704765,1,160,20081000
1723923225948000,8298,2496798473,0,0,172,230704765,1,160,19907000
1723923245895000,8299,2496798633,0,0,172,230704765,1,160,19947000
1723923266116000,8300,2496798793,0,0,172,230704765,1,160,20221000
1723923285985000,8301,2496798953,0,0,172,230704765,1,160,19869000
1723923306079000,8302,2496799113,0,0,172,230704765,1,160,20094000
