monotonic_ns,seq,timestamp,marker,payload_type,packet_bytes,ssrc,seq_delta,ts_delta,wall_delta_ns
1723922409654000,19346,160,1,0,172,1570827393,0,0,0
1723922429845000,19347,320,0,0,172,1570827393,1,160,20191000
1723922449974000,19348,480,0,0,172,1570827393,1,160,20129000
1723922470137000,19349,640,0,0,172,1570827393,1,160,20163000
1723922490331000,19350,800,0,0,172,1570827393,1,160,20194000
1723922510458000,19351,960,0,0,172,1570827393,1,160,20127000
1723922529449000,19352,1120,0,0,172,1570827393,1,160,18991000
1723922549559000,19353,1280,0,0,172,1570827393,1,160,20110000
1723922568961000,19354,1440,0,0,172,1570827393,1,160,19402000
1723922590114000,19355,1600,0,0,172,1570827393,1,160,21153000
1723922610221000,19356,1760,0,0,172,1570827393,1,160,20107000
1723922630308000,19357,1920,0,0,172,1570827393,1,160,20087000
1723922649892000,19358,2080,0,0,172,1570827393,1,160,19584000
1723922670039000,19359,2240,0,0,172,1570827393,1,160,20147000
1723922690206000,19360,2400,0,0,172,1570827393,1,160,20167000
1723922710112000,19361,2560,0,0,172,1570827393,1,160,19906000
1723922730214000,19362,2720,0,0,172,1570827393,1,160,20102000
1723922749909000,19363,2880,0,0,172,1570827393,1,160,19695000
1723922770066000,19364,3040,0,0,172,1570827393,1,160,20157000
1723922789994000,19365,3200,0,0,172,1570827393,1,160,19928000
1723922809717000,19366,3360,0,0,172,1570827393,1,160,19723000
1723922828859000,19367,3520,0,0,172,1570827393,1,160,19142000
1723922849968000,19368,3680,0,0,172,1570827393,1,160,21109000
1723922870136000,19369,3840,0,0,172,1570827393,1,160,20168000
1723922890318000,19370,4000,0,0,172,1570827393,1,160,20182000
1723922909740000,19371,4160,0,0,172,1570827393,1,160,19422000
1723922929320000,19372,4320,0,0,172,1570827393,1,160,19580000
1723922949874000,19373,4480,0,0,172,1570827393,1,160,20554000
1723922970041000,19374,4640,0,0,172,1570827393,1,160,20167000
1723922990215000,19375,4800,0,0,172,1570827393,1,160,20174000
1723923010336000,19376,4960,0,0,172,1570827393,1,160,20121000
1723923030435000,19377,5120,0,0,172,1570827393,1,160,20099000
1723923049544000,19378,5280,0,0,172,1570827393,1,160,19109000
1723923069702000,19379,5440,0,0,172,1570827393,1,160,20158000
1723923089852000,19380,5600,0,0,172,1570827393,1,160,20150000
1723923109966000,19381,5760,0,0,172,1570827393,1,160,20114000
1723923130072000,19382,5920,0,0,172,1570827393,1,160,20106000
1723923150211000,19383,6080,0,0,172,1570827393,1,160,20139000
1723923170368000,19384,6240,0,0,172,1570827393,1,160,20157000
1723923189264000,19385,6400,0,0,172,1570827393,1,160,18896000
1723923210383000,19386,6560,0,0,172,1570827393,1,160,21119000
1723923230493000,19387,6720,0,0,172,1570827393,1,160,20110000
