monotonic_ns,seq,timestamp,marker,payload_type,packet_bytes,ssrc,seq_delta,ts_delta,wall_delta_ns
1724366752437000,23294,160,1,0,172,1264029031,0,0,0
1724366772105000,23295,320,0,0,172,1264029031,1,160,19668000
1724366793818000,23296,480,0,0,172,1264029031,1,160,21713000
1724366813078000,23297,640,0,0,172,1264029031,1,160,19260000
1724366833269000,23298,800,0,0,172,1264029031,1,160,20191000
1724366852463000,23299,960,0,0,172,1264029031,1,160,19194000
1724366871642000,23300,1120,0,0,172,1264029031,1,160,19179000
1724366892894000,23301,1280,0,0,172,1264029031,1,160,21252000
1724366912609000,23302,1440,0,0,172,1264029031,1,160,19715000
1724366932833000,23303,1600,0,0,172,1264029031,1,160,20224000
1724366953013000,23304,1760,0,0,172,1264029031,1,160,20180000
1724366973171000,23305,1920,0,0,172,1264029031,1,160,20158000
1724366992379000,23306,2080,0,0,172,1264029031,1,160,19208000
1724367012595000,23307,2240,0,0,172,1264029031,1,160,20216000
1724367032805000,23308,2400,0,0,172,1264029031,1,160,20210000
1724367052448000,23309,2560,0,0,172,1264029031,1,160,19643000
1724367072608000,23310,2720,0,0,172,1264029031,1,160,20160000
1724367092786000,23311,2880,0,0,172,1264029031,1,160,20178000
1724367113032000,23312,3040,0,0,172,1264029031,1,160,20246000
1724367133225000,23313,3200,0,0,172,1264029031,1,160,20193000
1724367152366000,23314,3360,0,0,172,1264029031,1,160,19141000
1724367171619000,23315,3520,0,0,172,1264029031,1,160,19253000
1724367192578000,23316,3680,0,0,172,1264029031,1,160,20959000
1724367212799000,23317,3840,0,0,172,1264029031,1,160,20221000
1724367233025000,23318,4000,0,0,172,1264029031,1,160,20226000
1724367253236000,23319,4160,0,0,172,1264029031,1,160,20211000
1724367272346000,23320,4320,0,0,172,1264029031,1,160,19110000
1724367292567000,23321,4480,0,0,172,1264029031,1,160,20221000
1724367312804000,23322,4640,0,0,172,1264029031,1,160,20237000
1724367333050000,23323,4800,0,0,172,1264029031,1,160,20246000
1724367353234000,23324,4960,0,0,172,1264029031,1,160,20184000
1724367372388000,23325,5120,0,0,172,1264029031,1,160,19154000
1724367392547000,23326,5280,0,0,172,1264029031,1,160,20159000
1724367412725000,23327,5440,0,0,172,1264029031,1,160,20178000
1724367432256000,23328,5600,0,0,172,1264029031,1,160,19531000
1724367451955000,23329,5760,0,0,172,1264029031,1,160,19699000
1724367473179000,23330,5920,0,0,172,1264029031,1,160,21224000
1724367492403000,23331,6080,0,0,172,1264029031,1,160,19224000
1724367512624000,23332,6240,0,0,172,1264029031,1,160,20221000
1724367532840000,23333,6400,0,0,172,1264029031,1,160,20216000
1724367552782000,23334,6560,0,0,172,1264029031,1,160,19942000
1724367572648000,23335,6720,0,0,172,1264029031,1,160,19866000
1724367592878000,23336,6880,0,0,172,1264029031,1,160,20230000
1724367612318000,23337,7040,0,0,172,1264029031,1,160,19440000
1724367632543000,23338,7200,0,0,172,1264029031,1,160,20225000
1724367652736000,23339,7360,0,0,172,1264029031,1,160,20193000
1724367672662000,23340,7520,0,0,172,1264029031,1,160,19926000
1724367692333000,23341,7680,0,0,172,1264029031,1,160,19671000
1724367712593000,23342,7840,0,0,172,1264029031,1,160,20260000
1724367732211000,23343,8000,0,0,172,1264029031,1,160,19618000
1724367752399000,23344,8160,0,0,172,1264029031,1,160,20188000
1724367771592000,23345,8320,0,0,172,1264029031,1,160,19193000
1724367792798000,23346,8480,0,0,172,1264029031,1,160,21206000
1724367813049000,23347,8640,0,0,172,1264029031,1,160,20251000
1724367832399000,23348,8800,0,0,172,1264029031,1,160,19350000
1724367852466000,23349,8960,0,0,172,1264029031,1,160,20067000
1724367872633000,23350,9120,0,0,172,1264029031,1,160,20167000
1724367892807000,23351,9280,0,0,172,1264029031,1,160,20174000
1724367913105000,23352,9440,0,0,172,1264029031,1,160,20298000
1724367932353000,23353,9600,0,0,172,1264029031,1,160,19248000
1724367952410000,23354,9760,0,0,172,1264029031,1,160,20057000
1724367972576000,23355,9920,0,0,172,1264029031,1,160,20166000
1724367992765000,23356,10080,0,0,172,1264029031,1,160,20189000
1724368012930000,23357,10240,0,0,172,1264029031,1,160,20165000
1724368033197000,23358,10400,0,0,172,1264029031,1,160,20267000
1724368052402000,23359,10560,0,0,172,1264029031,1,160,19205000
1724368072589000,23360,10720,0,0,172,1264029031,1,160,20187000
1724368092830000,23361,10880,0,0,172,1264029031,1,160,20241000
1724368113122000,23362,11040,0,0,172,1264029031,1,160,20292000
1724368132288000,23363,11200,0,0,172,1264029031,1,160,19166000
1724368152396000,23364,11360,0,0,172,1264029031,1,160,20108000
1724368172560000,23365,11520,0,0,172,1264029031,1,160,20164000
1724368192794000,23366,11680,0,0,172,1264029031,1,160,20234000
1724368212997000,23367,11840,0,0,172,1264029031,1,160,20203000
1724368233222000,23368,12000,0,0,172,1264029031,1,160,20225000
1724368252016000,23369,12160,0,0,172,1264029031,1,160,18794000
1724368273237000,23370,12320,0,0,172,1264029031,1,160,21221000
1724368292500000,23371,12480,0,0,172,1264029031,1,160,19263000
1724368312785000,23372,12640,0,0,172,1264029031,1,160,20285000
1724368333039000,23373,12800,0,0,172,1264029031,1,160,20254000
1724368353249000,23374,12960,0,0,172,1264029031,1,160,20210000
1724368372440000,23375,13120,0,0,172,1264029031,1,160,19191000
1724368392423000,23376,13280,0,0,172,1264029031,1,160,19983000
1724368412650000,23377,13440,0,0,172,1264029031,1,160,20227000
1724368432886000,23378,13600,0,0,172,1264029031,1,160,20236000
1724368452380000,23379,13760,0,0,172,1264029031,1,160,19494000
1724368472535000,23380,13920,0,0,172,1264029031,1,160,20155000
1724368492779000,23381,14080,0,0,172,1264029031,1,160,20244000
1724368512356000,23382,14240,0,0,172,1264029031,1,160,19577000
1724368532607000,23383,14400,0,0,172,1264029031,1,160,20251000
1724368551934000,23384,14560,0,0,172,1264029031,1,160,19327000
1724368572609000,23385,14720,0,0,172,1264029031,1,160,20675000
1724368592829000,23386,14880,0,0,172,1264029031,1,160,20220000
1724368613043000,23387,15040,0,0,172,1264029031,1,160,20214000
1724368633259000,23388,15200,0,0,172,1264029031,1,160,20216000
1724368652444000,23389,15360,0,0,172,1264029031,1,160,19185000
1724368672046000,23390,15520,0,0,172,1264029031,1,160,19602000
1724368693290000,23391,15680,0,0,172,1264029031,1,160,21244000
1724368712483000,23392,15840,0,0,172,1264029031,1,160,19193000
1724368732703000,23393,16000,0,0,172,1264029031,1,160,20220000
1724368752810000,23394,16160,0,0,172,1264029031,1,160,20107000
1724368773003000,23395,16320,0,0,172,1264029031,1,160,20193000
1724368792985000,23396,16480,0,0,172,1264029031,1,160,19982000
1724368813236000,23397,16640,0,0,172,1264029031,1,160,20251000
1724368832479000,23398,16800,0,0,172,1264029031,1,160,19243000
1724368852714000,23399,16960,0,0,172,1264029031,1,160,20235000
1724368872959000,23400,17120,0,0,172,1264029031,1,160,20245000
1724368892981000,23401,17280,0,0,172,1264029031,1,160,20022000
1724368912204000,23402,17440,0,0,172,1264029031,1,160,19223000
1724368932344000,23403,17600,0,0,172,1264029031,1,160,20140000
1724368952337000,23404,17760,0,0,172,1264029031,1,160,19993000
1724368972473000,23405,17920,0,0,172,1264029031,1,160,20136000
1724368992465000,23406,18080,0,0,172,1264029031,1,160,19992000
1724369011780000,23407,18240,0,0,172,1264029031,1,160,19315000
1724369032869000,23408,18400,0,0,172,1264029031,1,160,21089000
1724369052056000,23409,18560,0,0,172,1264029031,1,160,19187000
1724369073185000,23410,18720,0,0,172,1264029031,1,160,21129000
1724369092316000,23411,18880,0,0,172,1264029031,1,160,19131000
1724369112427000,23412,19040,0,0,172,1264029031,1,160,20111000
1724369132553000,23413,19200,0,0,172,1264029031,1,160,20126000
1724369152114000,23414,19360,0,0,172,1264029031,1,160,19561000
1724369172219000,23415,19520,0,0,172,1264029031,1,160,20105000
1724369192332000,23416,19680,0,0,172,1264029031,1,160,20113000
1724369212543000,23417,19840,0,0,172,1264029031,1,160,20211000
1724369232633000,23418,20000,0,0,172,1264029031,1,160,20090000
1724369252680000,23419,20160,0,0,172,1264029031,1,160,20047000
1724369272743000,23420,20320,0,0,172,1264029031,1,160,20063000
1724369292801000,23421,20480,0,0,172,1264029031,1,160,20058000
1724369312834000,23422,20640,0,0,172,1264029031,1,160,20033000
1724369332874000,23423,20800,0,0,172,1264029031,1,160,20040000
1724369352918000,23424,20960,0,0,172,1264029031,1,160,20044000
1724369372291000,23425,21120,0,0,172,1264029031,1,160,19373000
1724369392409000,23426,21280,0,0,172,1264029031,1,160,20118000
1724369412593000,23427,21440,0,0,172,1264029031,1,160,20184000
1724369432830000,23428,21600,0,0,172,1264029031,1,160,20237000
1724369452826000,23429,21760,0,0,172,1264029031,1,160,19996000
1724369472522000,23430,21920,0,0,172,1264029031,1,160,19696000
1724369492733000,23431,22080,0,0,172,1264029031,1,160,20211000
