monotonic_ns,seq,timestamp,marker,payload_type,packet_bytes,ssrc,seq_delta,ts_delta,wall_delta_ns
1725121240723000,3672,371789412,1,0,172,437012093,0,0,0
1725121260606000,3673,371789572,0,0,172,437012093,1,160,19883000
1725121280423000,3674,371789732,0,0,172,437012093,1,160,19817000
1725121300483000,3675,371789892,0,0,172,437012093,1,160,20060000
1725121320426000,3676,371790052,0,0,172,437012093,1,160,19943000
1725121340352000,3677,371790212,0,0,172,437012093,1,160,19926000
1725121360668000,3678,371790372,0,0,172,437012093,1,160,20316000
1725121380674000,3679,371790532,0,0,172,437012093,1,160,20006000
1725121400577000,3680,371790692,0,0,172,437012093,1,160,19903000
1725121420221000,3681,371790852,0,0,172,437012093,1,160,19644000
1725121440487000,3682,371791012,0,0,172,437012093,1,160,20266000
1725121460504000,3683,371791172,0,0,172,437012093,1,160,20017000
1725121480384000,3684,371791332,0,0,172,437012093,1,160,19880000
1725121500569000,3685,371791492,0,0,172,437012093,1,160,20185000
1725121520830000,3686,371791652,0,0,172,437012093,1,160,20261000
1725121540579000,3687,371791812,0,0,172,437012093,1,160,19749000
1725121560579000,3688,371791972,0,0,172,437012093,1,160,20000000
1725121580677000,3689,371792132,0,0,172,437012093,1,160,20098000
1725121600253000,3690,371792292,0,0,172,437012093,1,160,19576000
1725121620431000,3691,371792452,0,0,172,437012093,1,160,20178000
1725121640318000,3692,371792612,0,0,172,437012093,1,160,19887000
1725121660599000,3693,371792772,0,0,172,437012093,1,160,20281000
1725121680463000,3694,371792932,0,0,172,437012093,1,160,19864000
1725121700415000,3695,371793092,0,0,172,437012093,1,160,19952000
1725121720375000,3696,371793252,0,0,172,437012093,1,160,19960000
1725121740598000,3697,371793412,0,0,172,437012093,1,160,20223000
1725121760329000,3698,371793572,0,0,172,437012093,1,160,19731000
1725121780643000,3699,371793732,0,0,172,437012093,1,160,20314000
1725121801808000,3700,371793892,0,0,172,437012093,1,160,21165000
1725121820728000,3701,371794052,0,0,172,437012093,1,160,18920000
1725121840780000,3702,371794212,0,0,172,437012093,1,160,20052000
1725121860598000,3703,371794372,0,0,172,437012093,1,160,19818000
1725121880426000,3704,371794532,0,0,172,437012093,1,160,19828000
1725121900424000,3705,371794692,0,0,172,437012093,1,160,19998000
1725121920636000,3706,371794852,0,0,172,437012093,1,160,20212000
1725121940557000,3707,371795012,0,0,172,437012093,1,160,19921000
1725121960503000,3708,371795172,0,0,172,437012093,1,160,19946000
1725121980426000,3709,371795332,0,0,172,437012093,1,160,19923000
1725122000108000,3710,371795492,0,0,172,437012093,1,160,19682000
1725122020580000,3711,371795652,0,0,172,437012093,1,160,20472000
1725122040572000,3712,371795812,0,0,172,437012093,1,160,19992000
1725122060586000,3713,371795972,0,0,172,437012093,1,160,20014000
1725122080438000,3714,371796132,0,0,172,437012093,1,160,19852000
1725122100437000,3715,371796292,0,0,172,437012093,1,160,19999000
1725122120433000,3716,371796452,0,0,172,437012093,1,160,19996000
1725122142289000,3717,371796612,0,0,172,437012093,1,160,21856000
1725122161032000,3718,371796772,0,0,172,437012093,1,160,18743000
1725122180454000,3719,371796932,0,0,172,437012093,1,160,19422000
1725122200488000,3720,371797092,0,0,172,437012093,1,160,20034000
1725122220416000,3721,371797252,0,0,172,437012093,1,160,19928000
1725122240443000,3722,371797412,0,0,172,437012093,1,160,20027000
1725122260396000,3723,371797572,0,0,172,437012093,1,160,19953000
1725122280460000,3724,371797732,0,0,172,437012093,1,160,20064000
1725122300322000,3725,371797892,0,0,172,437012093,1,160,19862000
1725122320445000,3726,371798052,0,0,172,437012093,1,160,20123000
1725122340231000,3727,371798212,0,0,172,437012093,1,160,19786000
1725122360487000,3728,371798372,0,0,172,437012093,1,160,20256000
1725122381512000,3729,371798532,0,0,172,437012093,1,160,21025000
1725122401107000,3730,371798692,0,0,172,437012093,1,160,19595000
1725122420462000,3731,371798852,0,0,172,437012093,1,160,19355000
1725122440618000,3732,371799012,0,0,172,437012093,1,160,20156000
