monotonic_ns,seq,timestamp,marker,payload_type,packet_bytes,ssrc,seq_delta,ts_delta,wall_delta_ns
1725544201286000,20430,160,1,0,172,815241331,0,0,0
1725544221363000,20431,320,0,0,172,815241331,1,160,20077000
1725544241582000,20432,480,0,0,172,815241331,1,160,20219000
1725544260901000,20433,640,0,0,172,815241331,1,160,19319000
1725544281308000,20434,800,0,0,172,815241331,1,160,20407000
1725544301489000,20435,960,0,0,172,815241331,1,160,20181000
1725544321679000,20436,1120,0,0,172,815241331,1,160,20190000
1725544341846000,20437,1280,0,0,172,815241331,1,160,20167000
1725544362048000,20438,1440,0,0,172,815241331,1,160,20202000
1725544381773000,20439,1600,0,0,172,815241331,1,160,19725000
1725544401960000,20440,1760,0,0,172,815241331,1,160,20187000
1725544422153000,20441,1920,0,0,172,815241331,1,160,20193000
1725544442346000,20442,2080,0,0,172,815241331,1,160,20193000
1725544461586000,20443,2240,0,0,172,815241331,1,160,19240000
1725544480770000,20444,2400,0,0,172,815241331,1,160,19184000
1725544501845000,20445,2560,0,0,172,815241331,1,160,21075000
1725544521963000,20446,2720,0,0,172,815241331,1,160,20118000
1725544542069000,20447,2880,0,0,172,815241331,1,160,20106000
1725544562133000,20448,3040,0,0,172,815241331,1,160,20064000
1725544581689000,20449,3200,0,0,172,815241331,1,160,19556000
1725544601814000,20450,3360,0,0,172,815241331,1,160,20125000
1725544621942000,20451,3520,0,0,172,815241331,1,160,20128000
1725544642144000,20452,3680,0,0,172,815241331,1,160,20202000
1725544662371000,20453,3840,0,0,172,815241331,1,160,20227000
1725544681636000,20454,4000,0,0,172,815241331,1,160,19265000
1725544701865000,20455,4160,0,0,172,815241331,1,160,20229000
1725544722070000,20456,4320,0,0,172,815241331,1,160,20205000
1725544742310000,20457,4480,0,0,172,815241331,1,160,20240000
1725544761653000,20458,4640,0,0,172,815241331,1,160,19343000
1725544781901000,20459,4800,0,0,172,815241331,1,160,20248000
1725544802130000,20460,4960,0,0,172,815241331,1,160,20229000
1725544822314000,20461,5120,0,0,172,815241331,1,160,20184000
1725544841425000,20462,5280,0,0,172,815241331,1,160,19111000
1725544861673000,20463,5440,0,0,172,815241331,1,160,20248000
1725544881729000,20464,5600,0,0,172,815241331,1,160,20056000
1725544901936000,20465,5760,0,0,172,815241331,1,160,20207000
1725544922185000,20466,5920,0,0,172,815241331,1,160,20249000
1725544941391000,20467,6080,0,0,172,815241331,1,160,19206000
1725544961639000,20468,6240,0,0,172,815241331,1,160,20248000
1725544981300000,20469,6400,0,0,172,815241331,1,160,19661000
1725545001523000,20470,6560,0,0,172,815241331,1,160,20223000
1725545021668000,20471,6720,0,0,172,815241331,1,160,20145000
1725545041875000,20472,6880,0,0,172,815241331,1,160,20207000
1725545061169000,20473,7040,0,0,172,815241331,1,160,19294000
1725545082401000,20474,7200,0,0,172,815241331,1,160,21232000
1725545101608000,20475,7360,0,0,172,815241331,1,160,19207000
1725545121813000,20476,7520,0,0,172,815241331,1,160,20205000
1725545141987000,20477,7680,0,0,172,815241331,1,160,20174000
1725545162236000,20478,7840,0,0,172,815241331,1,160,20249000
1725545181348000,20479,8000,0,0,172,815241331,1,160,19112000
1725545201557000,20480,8160,0,0,172,815241331,1,160,20209000
1725545221840000,20481,8320,0,0,172,815241331,1,160,20283000
1725545242050000,20482,8480,0,0,172,815241331,1,160,20210000
1725545262288000,20483,8640,0,0,172,815241331,1,160,20238000
1725545281578000,20484,8800,0,0,172,815241331,1,160,19290000
1725545301803000,20485,8960,0,0,172,815241331,1,160,20225000
1725545321041000,20486,9120,0,0,172,815241331,1,160,19238000
1725545342217000,20487,9280,0,0,172,815241331,1,160,21176000
1725545361434000,20488,9440,0,0,172,815241331,1,160,19217000
1725545381643000,20489,9600,0,0,172,815241331,1,160,20209000
1725545401851000,20490,9760,0,0,172,815241331,1,160,20208000
1725545422083000,20491,9920,0,0,172,815241331,1,160,20232000
1725545442276000,20492,10080,0,0,172,815241331,1,160,20193000
1725545461529000,20493,10240,0,0,172,815241331,1,160,19253000
1725545481740000,20494,10400,0,0,172,815241331,1,160,20211000
1725545501965000,20495,10560,0,0,172,815241331,1,160,20225000
1725545522211000,20496,10720,0,0,172,815241331,1,160,20246000
1725545541413000,20497,10880,0,0,172,815241331,1,160,19202000
1725545561067000,20498,11040,0,0,172,815241331,1,160,19654000
1725545581722000,20499,11200,0,0,172,815241331,1,160,20655000
1725545601915000,20500,11360,0,0,172,815241331,1,160,20193000
1725545622184000,20501,11520,0,0,172,815241331,1,160,20269000
1725545641370000,20502,11680,0,0,172,815241331,1,160,19186000
1725545661616000,20503,11840,0,0,172,815241331,1,160,20246000
1725545681436000,20504,12000,0,0,172,815241331,1,160,19820000
1725545701650000,20505,12160,0,0,172,815241331,1,160,20214000
1725545721905000,20506,12320,0,0,172,815241331,1,160,20255000
1725545742127000,20507,12480,0,0,172,815241331,1,160,20222000
1725545762362000,20508,12640,0,0,172,815241331,1,160,20235000
1725545781653000,20509,12800,0,0,172,815241331,1,160,19291000
1725545801591000,20510,12960,0,0,172,815241331,1,160,19938000
1725545821819000,20511,13120,0,0,172,815241331,1,160,20228000
1725545842055000,20512,13280,0,0,172,815241331,1,160,20236000
1725545862352000,20513,13440,0,0,172,815241331,1,160,20297000
1725545881588000,20514,13600,0,0,172,815241331,1,160,19236000
1725545901800000,20515,13760,0,0,172,815241331,1,160,20212000
1725545921706000,20516,13920,0,0,172,815241331,1,160,19906000
1725545941775000,20517,14080,0,0,172,815241331,1,160,20069000
1725545962055000,20518,14240,0,0,172,815241331,1,160,20280000
1725545982274000,20519,14400,0,0,172,815241331,1,160,20219000
1725546001428000,20520,14560,0,0,172,815241331,1,160,19154000
1725546020613000,20521,14720,0,0,172,815241331,1,160,19185000
1725546041741000,20522,14880,0,0,172,815241331,1,160,21128000
1725546061842000,20523,15040,0,0,172,815241331,1,160,20101000
1725546081664000,20524,15200,0,0,172,815241331,1,160,19822000
1725546100779000,20525,15360,0,0,172,815241331,1,160,19115000
1725546121885000,20526,15520,0,0,172,815241331,1,160,21106000
1725546141278000,20527,15680,0,0,172,815241331,1,160,19393000
1725546161353000,20528,15840,0,0,172,815241331,1,160,20075000
1725546180572000,20529,16000,0,0,172,815241331,1,160,19219000
1725546201288000,20530,16160,0,0,172,815241331,1,160,20716000
1725546221350000,20531,16320,0,0,172,815241331,1,160,20062000
1725546241429000,20532,16480,0,0,172,815241331,1,160,20079000
1725546260579000,20533,16640,0,0,172,815241331,1,160,19150000
1725546280700000,20534,16800,0,0,172,815241331,1,160,20121000
1725546301776000,20535,16960,0,0,172,815241331,1,160,21076000
1725546321875000,20536,17120,0,0,172,815241331,1,160,20099000
1725546342002000,20537,17280,0,0,172,815241331,1,160,20127000
1725546362123000,20538,17440,0,0,172,815241331,1,160,20121000
1725546382256000,20539,17600,0,0,172,815241331,1,160,20133000
1725546401074000,20540,17760,0,0,172,815241331,1,160,18818000
1725546422206000,20541,17920,0,0,172,815241331,1,160,21132000
1725546441152000,20542,18080,0,0,172,815241331,1,160,18946000
1725546462267000,20543,18240,0,0,172,815241331,1,160,21115000
1725546481451000,20544,18400,0,0,172,815241331,1,160,19184000
1725546501628000,20545,18560,0,0,172,815241331,1,160,20177000
1725546521818000,20546,18720,0,0,172,815241331,1,160,20190000
1725546541948000,20547,18880,0,0,172,815241331,1,160,20130000
1725546562061000,20548,19040,0,0,172,815241331,1,160,20113000
1725546582239000,20549,19200,0,0,172,815241331,1,160,20178000
1725546600391000,20550,19360,0,0,172,815241331,1,160,18152000
1725546621081000,20551,19520,0,0,172,815241331,1,160,20690000
1725546642158000,20552,19680,0,0,172,815241331,1,160,21077000
1725546661280000,20553,19840,0,0,172,815241331,1,160,19122000
1725546681402000,20554,20000,0,0,172,815241331,1,160,20122000
1725546701595000,20555,20160,0,0,172,815241331,1,160,20193000
1725546721808000,20556,20320,0,0,172,815241331,1,160,20213000
1725546740961000,20557,20480,0,0,172,815241331,1,160,19153000
1725546762092000,20558,20640,0,0,172,815241331,1,160,21131000
1725546782282000,20559,20800,0,0,172,815241331,1,160,20190000
1725546801479000,20560,20960,0,0,172,815241331,1,160,19197000
1725546821652000,20561,21120,0,0,172,815241331,1,160,20173000
1725546841793000,20562,21280,0,0,172,815241331,1,160,20141000
1725546861998000,20563,21440,0,0,172,815241331,1,160,20205000
1725546881638000,20564,21600,0,0,172,815241331,1,160,19640000
1725546901812000,20565,21760,0,0,172,815241331,1,160,20174000
1725546922942000,20566,21920,0,0,172,815241331,1,160,21130000
1725546942078000,20567,22080,0,0,172,815241331,1,160,19136000
