dir	rate	baud	settled	CINR	clean%	hold_s	t_fail_s	lines
rate19200-r1	19200	3200	0.014	19.7	14	18.9	19.0	0
rate19200-r2	19200	3200	0.012	27.8	74	60.5	15.3	20433
rate21600-r1	21600	3200	-	-	-	0.0	-	0
rate21600-r2	21600	3200	0.019	21.7	2	8.8	9.2	0
rate24000-r1	24000	3200	0.045	35.3	100	115.4	-	29197
rate24000-r2	24000	3200	0.039	24.6	7	21.4	21.6	5621
rate26400-r1	26400	3200	0.084	26.2	4	10.6	10.8	1206
rate26400-r2	26400	3200	0.090	26.0	2	8.4	8.6	2357
rate28800-r1	28800	3200	0.301	27.9	0	0.5	0.7	36
rate28800-r2	28800	3200	0.292	28.8	0	0.7	0.9	19
rate31200-r1	31200	3200	0.168	30.4	2	7.3	7.4	1295
rate31200-r2	31200	3200	0.168	30.3	1	4.0	4.2	649
