# V.34 Phase 3 STFT sub-sequence scores
# sym_rate=2400  fc=1800
# columns: time_s  S_score  PP_score  TRN_flat  label
0.0100  34.527  0.000  0.001  S
0.0150  34.975  0.000  0.000  S
0.0200  35.008  0.000  0.000  S
0.0250  34.971  0.000  0.000  S
0.0300  34.968  0.000  0.000  S
0.0350  32.227  0.000  0.007  S
0.0400  11.421  0.000  0.125  S
0.0450  4.825  0.000  0.306  T
0.0500  1.491  0.000  0.449  T
0.0550  1.694  0.000  0.719  T
0.0600  1.575  0.000  0.672  T
0.0650  0.992  0.000  0.668  T
0.0700  1.693  0.000  0.722  T
0.0750  1.622  0.000  0.673  T
0.0800  0.979  0.000  0.669  T
0.0850  1.663  0.000  0.722  T
0.0900  1.589  0.000  0.671  T
0.0950  0.985  0.000  0.673  T
0.1000  1.709  0.000  0.718  T
0.1050  1.606  0.000  0.670  T
0.1100  0.988  0.000  0.670  T
0.1150  1.630  0.000  0.721  T
0.1200  1.569  0.000  0.670  T
0.1250  1.018  0.000  0.668  T
0.1300  1.381  0.000  0.710  T
0.1350  1.360  0.000  0.545  T
0.1400  1.446  0.000  0.504  T
0.1450  1.609  0.000  0.452  T
0.1500  1.426  0.000  0.526  T
0.1550  2.220  0.000  0.435  T
0.1600  1.560  0.000  0.482  T
0.1650  1.254  0.000  0.584  T
0.1700  1.809  0.000  0.644  T
0.1750  2.094  0.000  0.645  T
0.1800  2.776  0.000  0.668  T
0.1850  1.486  0.000  0.596  T
0.1900  2.555  0.000  0.630  T
0.1950  3.309  0.000  0.548  T
0.2000  0.564  0.000  0.564  T
0.2050  0.703  0.000  0.496  T
0.2100  0.558  0.000  0.608  T
0.2150  0.343  0.000  0.588  T
0.2200  1.568  0.000  0.608  T
0.2250  1.834  0.000  0.615  T
0.2300  1.846  0.000  0.598  T
0.2350  2.390  0.000  0.554  T
0.2400  2.789  0.000  0.627  T
0.2450  1.844  0.000  0.627  T
0.2500  0.879  0.000  0.647  T
0.2550  3.166  0.000  0.565  T
0.2600  3.794  0.000  0.614  T
0.2650  1.575  0.000  0.531  T
0.2700  1.424  0.000  0.623  T
0.2750  1.893  0.000  0.537  T
0.2800  4.601  0.000  0.570  T
0.2850  2.742  0.000  0.620  T
0.2900  1.971  0.000  0.581  T
0.2950  4.707  0.000  0.566  T
0.3000  2.854  0.000  0.483  T
0.3050  0.525  0.000  0.490  T
0.3100  0.546  0.000  0.616  T
0.3150  0.445  0.000  0.447  T
0.3200  0.303  0.000  0.464  T
0.3250  0.663  0.000  0.518  T
0.3300  0.792  0.000  0.629  T
0.3350  1.117  0.000  0.390  T
0.3400  3.248  0.000  0.484  T
0.3450  3.406  0.000  0.569  T
0.3500  1.577  0.000  0.602  T
0.3550  1.227  0.000  0.528  T
0.3600  1.647  0.000  0.559  T
0.3650  0.810  0.000  0.661  T
0.3700  0.278  0.000  0.587  T
0.3750  1.087  0.000  0.649  T
0.3800  0.847  0.000  0.579  T
0.3850  1.573  0.000  0.582  T
0.3900  1.492  0.000  0.497  T
0.3950  1.349  0.000  0.545  T
0.4000  1.129  0.000  0.564  T
0.4050  1.357  0.000  0.695  T
0.4100  0.905  0.000  0.641  T
0.4150  1.030  0.000  0.605  T
0.4200  0.161  0.000  0.565  T
0.4250  0.342  0.000  0.479  T
0.4300  3.441  0.000  0.539  T
0.4350  3.271  0.000  0.533  T
0.4400  2.308  0.000  0.525  T
0.4450  4.373  0.000  0.628  T
0.4500  2.552  0.000  0.674  T
0.4550  1.311  0.000  0.518  T
0.4600  2.069  0.000  0.553  T
0.4650  1.919  0.000  0.571  T
0.4700  1.168  0.000  0.509  T
0.4750  0.694  0.000  0.630  T
0.4800  1.119  0.000  0.539  T
0.4850  0.369  0.000  0.473  T
0.4900  2.215  0.000  0.583  T
0.4950  3.332  0.000  0.580  T
0.5000  1.662  0.000  0.659  T
0.5050  0.966  0.000  0.443  T
0.5100  1.241  0.000  0.444  T
