# V.34 Phase 3 segment timeline
# sym_rate=3200  fc=1829
# columns: offset_ms  segment  n_symbols  duration_ms
     0.000  TRN/J_a/SCR        1974     616.875
   616.875  PP (6×48T)          168      52.500
   669.375  TRN/J_a/SCR          60      18.750
   688.125  PP (6×48T)         1680     525.000
  1213.125  TRN/J_a/SCR          36      11.250
  1224.375  PP (6×48T)          180      56.250
  1280.625  TRN/J_a/SCR         840     262.500
  1543.125  PP (6×48T)           12       3.750
  1546.875  TRN/J_a/SCR        4092    1278.750
  2825.625  PP (6×48T)           12       3.750
  2829.375  TRN/J_a/SCR          24       7.500
  2836.875  PP (6×48T)           24       7.500
  2844.375  TRN/J_a/SCR        1188     371.250
  3215.625  PP (6×48T)          180      56.250
  3271.875  TRN/J_a/SCR          48      15.000
  3286.875  PP (6×48T)         1680     525.000
  3811.875  TRN/J_a/SCR          48      15.000
  3826.875  PP (6×48T)          168      52.500
  3879.375  TRN/J_a/SCR        2460     768.750
  4648.125  PP (6×48T)           84      26.250
  4674.375  S / S̄             1008     315.000
  4989.375  TRN/J_a/SCR          33      10.312
