# V.34 Phase 3 segment timeline
# sym_rate=2400  fc=1600
# columns: offset_ms  segment  n_symbols  duration_ms
     0.000  TRN/J_a/SCR         138      57.500
    57.500  PP (6×48T)          120      50.000
   107.500  TRN/J_a/SCR         156      65.000
   172.500  PP (6×48T)           48      20.000
   192.500  TRN/J_a/SCR          84      35.000
   227.500  PP (6×48T)           12       5.000
   232.500  TRN/J_a/SCR         828     345.000
   577.500  PP (6×48T)          108      45.000
   622.500  TRN/J_a/SCR          24      10.000
   632.500  PP (6×48T)           12       5.000
   637.500  TRN/J_a/SCR          12       5.000
   642.500  PP (6×48T)           24      10.000
   652.500  TRN/J_a/SCR         132      55.000
   707.500  PP (6×48T)          264     110.000
   817.500  TRN/J_a/SCR          24      10.000
   827.500  PP (6×48T)           36      15.000
   842.500  TRN/J_a/SCR         168      70.000
   912.500  PP (6×48T)           12       5.000
   917.500  TRN/J_a/SCR          60      25.000
   942.500  PP (6×48T)          372     155.000
  1097.500  TRN/J_a/SCR         384     160.000
  1257.500  PP (6×48T)          180      75.000
  1332.500  TRN/J_a/SCR          48      20.000
  1352.500  PP (6×48T)          156      65.000
  1417.500  TRN/J_a/SCR         204      85.000
  1502.500  PP (6×48T)          312     130.000
  1632.500  TRN/J_a/SCR          84      35.000
  1667.500  PP (6×48T)         1332     555.000
  2222.500  TRN/J_a/SCR          24      10.000
  2232.500  PP (6×48T)          180      75.000
  2307.500  TRN/J_a/SCR          60      25.000
  2332.500  PP (6×48T)          168      70.000
  2402.500  TRN/J_a/SCR          12       5.000
  2407.500  PP (6×48T)           12       5.000
  2412.500  TRN/J_a/SCR         209      87.083
