# V.34 Phase 3 segment timeline
# sym_rate=3200  fc=1829
# columns: offset_ms  segment  n_symbols  duration_ms
     0.000  TRN/J_a/SCR        1074     335.625
   335.625  PP (6×48T)           24       7.500
   343.125  TRN/J_a/SCR         816     255.000
   598.125  PP (6×48T)          180      56.250
   654.375  TRN/J_a/SCR         108      33.750
   688.125  PP (6×48T)           24       7.500
   695.625  TRN/J_a/SCR         816     255.000
   950.625  PP (6×48T)           84      26.250
   976.875  S / S̄              824     257.500
  1234.375  PP (6×48T)           52      16.250
  1250.625  TRN/J_a/SCR         358     111.875
  1362.500  S / S̄                9       2.812
  1365.312  TRN/J_a/SCR           4       1.250
  1366.562  S / S̄                6       1.875
  1368.438  TRN/J_a/SCR           2       0.625
  1369.062  S / S̄                7       2.188
  1371.250  TRN/J_a/SCR           1       0.312
  1371.562  S / S̄              178      55.625
  1427.188  TRN/J_a/SCR          48      15.000
  1442.188  S / S̄                4       1.250
  1443.438  TRN/J_a/SCR           4       1.250
  1444.688  S / S̄              626     195.625
  1640.312  PP (6×48T)           97      30.312
  1670.625  TRN/J_a/SCR         360     112.500
  1783.125  PP (6×48T)          168      52.500
  1835.625  TRN/J_a/SCR         912     285.000
  2120.625  PP (6×48T)           12       3.750
  2124.375  TRN/J_a/SCR          48      15.000
  2139.375  PP (6×48T)          168      52.500
  2191.875  TRN/J_a/SCR          52      16.250
  2208.125  S / S̄               39      12.188
  2220.312  TRN/J_a/SCR         653     204.062
  2424.375  PP (6×48T)           69      21.562
  2445.938  S / S̄             6540    2043.750
  4489.688  TRN/J_a/SCR          33      10.312
