# V.34 Phase 3 segment timeline
# sym_rate=3200  fc=1829
# columns: offset_ms  segment  n_symbols  duration_ms
     0.000  TRN/J_a/SCR         138      43.125
    43.125  PP (6×48T)         1488     465.000
   508.125  TRN/J_a/SCR         144      45.000
   553.125  PP (6×48T)          144      45.000
   598.125  TRN/J_a/SCR        1104     345.000
   943.125  PP (6×48T)          168      52.500
   995.625  TRN/J_a/SCR          84      26.250
  1021.875  PP (6×48T)           36      11.250
  1033.125  TRN/J_a/SCR          60      18.750
  1051.875  PP (6×48T)          168      52.500
  1104.375  TRN/J_a/SCR         948     296.250
  1400.625  PP (6×48T)          168      52.500
  1453.125  TRN/J_a/SCR        1128     352.500
  1805.625  PP (6×48T)          156      48.750
  1854.375  TRN/J_a/SCR          60      18.750
  1873.125  PP (6×48T)          264      82.500
  1955.625  TRN/J_a/SCR          12       3.750
  1959.375  PP (6×48T)           12       3.750
  1963.125  TRN/J_a/SCR          36      11.250
  1974.375  PP (6×48T)           72      22.500
  1996.875  TRN/J_a/SCR         384     120.000
  2116.875  PP (6×48T)          180      56.250
  2173.125  TRN/J_a/SCR        1680     525.000
  2698.125  PP (6×48T)           12       3.750
  2701.875  TRN/J_a/SCR          12       3.750
  2705.625  PP (6×48T)           96      30.000
  2735.625  TRN/J_a/SCR         912     285.000
  3020.625  PP (6×48T)          168      52.500
  3073.125  TRN/J_a/SCR         372     116.250
  3189.375  PP (6×48T)          116      36.250
  3225.625  S / S̄                2       0.625
  3226.250  PP (6×48T)            7       2.188
  3228.438  S / S̄                4       1.250
  3229.688  PP (6×48T)           39      12.188
  3241.875  TRN/J_a/SCR          25       7.812
  3249.688  S / S̄                2       0.625
  3250.312  TRN/J_a/SCR           1       0.312
  3250.625  S / S̄               14       4.375
  3255.000  TRN/J_a/SCR           1       0.312
  3255.312  S / S̄                2       0.625
  3255.938  TRN/J_a/SCR         104      32.500
  3288.438  S / S̄               25       7.812
  3296.250  TRN/J_a/SCR           2       0.625
  3296.875  S / S̄               12       3.750
  3300.625  TRN/J_a/SCR          67      20.938
  3321.562  S / S̄               12       3.750
  3325.312  TRN/J_a/SCR           2       0.625
  3325.938  S / S̄               19       5.938
  3331.875  TRN/J_a/SCR         264      82.500
  3414.375  PP (6×48T)           12       3.750
  3418.125  TRN/J_a/SCR          60      18.750
  3436.875  PP (6×48T)           12       3.750
  3440.625  TRN/J_a/SCR         298      93.125
  3533.750  S / S̄               37      11.562
  3545.312  TRN/J_a/SCR          85      26.562
  3571.875  PP (6×48T)           12       3.750
  3575.625  TRN/J_a/SCR         146      45.625
  3621.250  S / S̄                1       0.312
  3621.562  TRN/J_a/SCR           1       0.312
  3621.875  S / S̄                1       0.312
  3622.188  TRN/J_a/SCR           2       0.625
  3622.812  S / S̄                2       0.625
  3623.438  TRN/J_a/SCR          39      12.188
  3635.625  PP (6×48T)           36      11.250
  3646.875  TRN/J_a/SCR          12       3.750
  3650.625  PP (6×48T)           36      11.250
  3661.875  TRN/J_a/SCR         576     180.000
  3841.875  PP (6×48T)           24       7.500
  3849.375  TRN/J_a/SCR          24       7.500
  3856.875  PP (6×48T)           36      11.250
  3868.125  TRN/J_a/SCR          12       3.750
  3871.875  PP (6×48T)           24       7.500
  3879.375  TRN/J_a/SCR         180      56.250
  3935.625  PP (6×48T)          168      52.500
  3988.125  TRN/J_a/SCR        1128     352.500
  4340.625  PP (6×48T)          156      48.750
  4389.375  TRN/J_a/SCR         552     172.500
  4561.875  PP (6×48T)           60      18.750
  4580.625  S / S̄             4508    1408.750
  5989.375  TRN/J_a/SCR          33      10.312
