# V.34 Phase 3 STFT sub-sequence scores
# sym_rate=3200  fc=1829
# columns: time_s  S_score  PP_score  TRN_flat  label
0.0100  0.074  -0.028  0.328  T
0.0150  0.260  -0.037  0.402  T
0.0200  0.166  0.179  0.077  P
0.0250  0.104  0.205  0.177  P
0.0300  0.122  0.245  0.151  P
0.0350  0.165  0.179  0.077  P
0.0400  0.102  0.205  0.176  P
0.0450  0.121  0.236  0.151  P
0.0500  0.045  -0.075  0.295  T
0.0550  0.066  -0.180  0.291  T
0.0600  0.166  -0.137  0.149  T
0.0650  0.166  0.179  0.077  P
0.0700  0.108  0.204  0.177  P
0.0750  0.119  0.246  0.152  P
0.0800  0.187  0.134  0.070  T
0.0850  0.208  -0.161  0.039  T
0.0900  0.248  -0.156  0.138  T
0.0950  0.161  0.178  0.078  P
0.1000  0.099  0.206  0.177  P
0.1050  0.122  0.244  0.152  P
0.1100  0.163  0.179  0.076  P
0.1150  0.099  0.206  0.176  P
0.1200  0.123  0.235  0.152  P
0.1250  0.042  -0.076  0.299  T
0.1300  0.067  -0.181  0.291  T
0.1350  0.166  -0.138  0.149  T
0.1400  0.166  0.179  0.077  P
0.1450  0.107  0.204  0.177  P
0.1500  0.120  0.236  0.152  P
0.1550  0.045  -0.075  0.295  T
0.1600  0.059  -0.022  0.279  T
0.1650  0.081  0.007  0.203  T
0.1700  0.071  -0.046  0.201  T
0.1750  0.073  -0.049  0.328  T
0.1800  0.259  -0.037  0.402  T
0.1850  0.166  0.179  0.077  P
0.1900  0.105  0.204  0.177  P
0.1950  0.121  0.236  0.152  P
0.2000  0.045  -0.075  0.295  T
0.2050  0.059  -0.022  0.279  T
0.2100  0.081  0.005  0.203  T
0.2150  0.085  0.246  0.151  P
0.2200  0.081  0.250  0.170  P
0.2250  0.084  0.254  0.174  P
0.2300  0.071  -0.046  0.201  T
0.2350  0.073  -0.049  0.328  T
0.2400  0.259  -0.037  0.402  T
0.2450  0.166  0.179  0.077  P
0.2500  0.104  0.205  0.176  P
0.2550  0.121  0.245  0.151  P
0.2600  0.164  0.179  0.077  P
0.2650  0.102  0.205  0.177  P
0.2700  0.123  0.236  0.152  P
0.2750  0.045  -0.075  0.295  T
0.2800  0.067  -0.180  0.291  T
0.2850  0.166  -0.137  0.149  T
0.2900  0.166  0.179  0.077  P
0.2950  0.108  0.204  0.177  P
0.3000  0.119  0.246  0.152  P
0.3050  0.186  0.134  0.070  T
0.3100  0.208  -0.162  0.038  T
0.3150  0.248  -0.157  0.137  T
0.3200  0.161  0.178  0.077  P
0.3250  0.095  0.206  0.176  P
0.3300  0.127  0.244  0.152  P
0.3350  0.162  0.179  0.077  P
0.3400  0.095  0.206  0.176  P
0.3450  0.126  0.235  0.152  P
0.3500  0.044  -0.080  0.308  T
0.3550  0.067  -0.183  0.292  T
0.3600  0.167  -0.140  0.149  T
0.3650  0.166  0.179  0.077  P
0.3700  0.107  0.204  0.177  P
0.3750  0.120  0.236  0.152  P
0.3800  0.045  -0.075  0.295  T
0.3850  0.059  -0.022  0.279  T
0.3900  0.081  0.007  0.203  T
0.3950  0.071  -0.046  0.201  T
0.4000  0.073  -0.049  0.328  T
0.4050  0.259  -0.037  0.402  T
0.4100  0.166  0.179  0.077  P
0.4150  0.106  0.204  0.177  P
0.4200  0.120  0.236  0.152  P
0.4250  0.045  -0.075  0.295  T
0.4300  0.060  -0.022  0.279  T
0.4350  0.081  0.005  0.204  T
0.4400  0.084  0.246  0.151  P
0.4450  0.081  0.250  0.170  P
0.4500  0.084  0.254  0.174  P
0.4550  0.071  -0.046  0.201  T
0.4600  0.073  -0.049  0.328  T
0.4650  0.260  -0.037  0.402  T
0.4700  0.166  0.179  0.077  P
0.4750  0.104  0.205  0.177  P
0.4800  0.122  0.245  0.151  P
0.4850  0.165  0.179  0.077  P
0.4900  0.103  0.204  0.177  P
0.4950  0.126  0.235  0.150  P
0.5000  0.047  -0.074  0.288  T
0.5050  0.066  -0.180  0.288  T
0.5100  0.331  0.072  0.181  T
0.5150  0.683  0.033  0.237  T
0.5200  1.139  -0.200  0.455  T
0.5250  0.843  -0.031  0.460  T
0.5300  0.045  0.067  0.111  T
0.5350  0.013  -0.019  0.110  T
0.5400  0.107  0.072  0.129  T
0.5450  0.340  0.059  0.098  T
0.5500  0.168  -0.118  0.187  T
0.5550  0.128  0.012  0.186  T
0.5600  0.238  0.004  0.266  T
0.5650  0.692  0.017  0.261  T
0.5700  0.351  -0.090  0.380  T
0.5750  0.433  0.067  0.310  T
0.5800  0.519  -0.049  0.249  T
0.5850  0.492  -0.046  0.305  T
0.5900  0.350  -0.014  0.216  T
0.5950  0.200  -0.048  0.196  T
0.6000  0.226  0.025  0.200  T
0.6050  0.169  0.041  0.214  T
0.6100  0.193  0.022  0.200  T
0.6150  0.698  -0.026  0.234  T
0.6200  0.908  0.020  0.211  T
0.6250  0.353  0.071  0.215  T
0.6300  0.486  -0.032  0.258  T
0.6350  0.340  0.027  0.218  T
0.6400  0.218  0.051  0.197  T
0.6450  0.332  0.001  0.292  T
0.6500  0.319  -0.031  0.287  T
0.6550  0.268  -0.064  0.260  T
0.6600  0.606  0.041  0.264  T
0.6650  0.616  -0.013  0.247  T
0.6700  0.263  -0.035  0.207  T
0.6750  0.045  0.070  0.211  T
0.6800  0.142  -0.011  0.299  T
0.6850  0.782  -0.060  0.297  T
0.6900  1.107  -0.075  0.235  T
0.6950  0.827  -0.054  0.288  T
0.7000  0.522  -0.021  0.267  T
0.7050  0.264  -0.017  0.281  T
0.7100  0.679  -0.039  0.247  T
0.7150  1.118  -0.042  0.271  T
0.7200  0.420  -0.022  0.200  T
0.7250  0.433  -0.059  0.268  T
0.7300  0.681  -0.187  0.211  T
0.7350  0.309  -0.169  0.121  T
0.7400  0.165  0.121  0.074  T
0.7450  0.107  0.209  0.176  P
0.7500  0.120  0.244  0.147  P
0.7550  0.189  0.134  0.070  T
0.7600  0.204  -0.164  0.039  T
0.7650  0.264  -0.162  0.132  T
0.7700  0.168  0.158  0.083  P
0.7750  0.103  0.204  0.175  P
0.7800  0.127  0.243  0.156  P
0.7850  0.170  0.180  0.080  P
0.7900  0.107  0.204  0.174  P
0.7950  0.126  0.233  0.156  P
0.8000  0.043  -0.088  0.321  T
0.8050  0.067  -0.189  0.290  T
0.8100  0.173  -0.146  0.147  T
0.8150  0.166  0.179  0.076  P
0.8200  0.097  0.204  0.174  P
0.8250  0.129  0.235  0.149  P
0.8300  0.051  -0.076  0.289  T
0.8350  0.061  -0.022  0.277  T
0.8400  0.082  0.005  0.206  T
