# V.34 Phase 3 segment timeline
# sym_rate=3200  fc=1829
# columns: offset_ms  segment  n_symbols  duration_ms
     0.000  TRN/J_a/SCR         138      43.125
    43.125  PP (6×48T)          228      71.250
   114.375  TRN/J_a/SCR          36      11.250
   125.625  PP (6×48T)           36      11.250
   136.875  TRN/J_a/SCR         228      71.250
   208.125  PP (6×48T)          420     131.250
   339.375  TRN/J_a/SCR          36      11.250
   350.625  PP (6×48T)           36      11.250
   361.875  TRN/J_a/SCR         228      71.250
   433.125  PP (6×48T)          156      48.750
   481.875  TRN/J_a/SCR         288      90.000
   571.875  PP (6×48T)           24       7.500
   579.375  TRN/J_a/SCR         408     127.500
   706.875  PP (6×48T)          264      82.500
   789.375  TRN/J_a/SCR          36      11.250
   800.625  PP (6×48T)           36      11.250
   811.875  TRN/J_a/SCR         228      71.250
   883.125  PP (6×48T)          408     127.500
  1010.625  TRN/J_a/SCR         312      97.500
  1108.125  PP (6×48T)          408     127.500
  1235.625  TRN/J_a/SCR         324     101.250
  1336.875  PP (6×48T)          324     101.250
  1438.125  TRN/J_a/SCR         444     138.750
  1576.875  PP (6×48T)          144      45.000
  1621.875  TRN/J_a/SCR          12       3.750
  1625.625  PP (6×48T)          156      48.750
  1674.375  TRN/J_a/SCR         456     142.500
  1816.875  PP (6×48T)          324     101.250
  1918.125  TRN/J_a/SCR         444     138.750
  2056.875  PP (6×48T)          144      45.000
  2101.875  TRN/J_a/SCR          60      18.750
  2120.625  PP (6×48T)          120      37.500
  2158.125  TRN/J_a/SCR         744     232.500
  2390.625  PP (6×48T)           24       7.500
  2398.125  TRN/J_a/SCR         444     138.750
  2536.875  PP (6×48T)          144      45.000
  2581.875  TRN/J_a/SCR         120      37.500
  2619.375  PP (6×48T)           60      18.750
  2638.125  TRN/J_a/SCR         444     138.750
  2776.875  PP (6×48T)          144      45.000
  2821.875  TRN/J_a/SCR          96      30.000
  2851.875  PP (6×48T)           96      30.000
  2881.875  TRN/J_a/SCR         432     135.000
  3016.875  PP (6×48T)          144      45.000
  3061.875  TRN/J_a/SCR         648     202.500
  3264.375  PP (6×48T)           36      11.250
  3275.625  TRN/J_a/SCR         372     116.250
  3391.875  PP (6×48T)           60      18.750
  3410.625  TRN/J_a/SCR         240      75.000
  3485.625  PP (6×48T)           96      30.000
  3515.625  TRN/J_a/SCR          36      11.250
  3526.875  PP (6×48T)          264      82.500
  3609.375  TRN/J_a/SCR          36      11.250
  3620.625  PP (6×48T)           36      11.250
  3631.875  TRN/J_a/SCR         228      71.250
  3703.125  PP (6×48T)          156      48.750
  3751.875  TRN/J_a/SCR         167      52.188
