# V.34 Phase 3 STFT sub-sequence scores
# sym_rate=3000  fc=1800
# columns: time_s  S_score  PP_score  TRN_flat  label
0.0100  0.551  0.030  0.586  T
0.0150  0.563  -0.025  0.557  T
0.0200  1.070  -0.016  0.695  T
0.0250  0.731  0.031  0.645  T
0.0300  0.905  0.007  0.591  T
0.0350  0.901  -0.012  0.578  T
0.0400  2.153  -0.032  0.592  T
0.0450  4.046  -0.008  0.649  T
0.0500  2.145  0.003  0.629  T
0.0550  0.542  -0.056  0.589  T
0.0600  1.508  -0.030  0.621  T
0.0650  2.564  0.004  0.562  T
0.0700  1.911  -0.033  0.509  T
0.0750  0.588  -0.009  0.572  T
0.0800  0.945  -0.051  0.584  T
0.0850  2.880  0.085  0.581  T
0.0900  0.871  -0.031  0.671  T
0.0950  0.746  0.017  0.637  T
0.1000  2.124  0.021  0.552  T
0.1050  1.776  0.045  0.591  T
0.1100  2.375  0.029  0.563  T
0.1150  0.838  -0.020  0.693  T
0.1200  2.218  0.040  0.628  T
0.1250  4.643  0.004  0.568  T
0.1300  1.088  0.024  0.699  T
0.1350  0.338  0.054  0.661  T
0.1400  1.584  -0.058  0.530  T
0.1450  1.087  -0.032  0.548  T
0.1500  0.239  0.017  0.573  T
0.1550  0.398  0.060  0.544  T
0.1600  0.881  0.011  0.631  T
0.1650  1.885  0.016  0.627  T
0.1700  2.714  -0.042  0.640  T
0.1750  1.271  0.014  0.723  T
0.1800  0.483  -0.020  0.630  T
0.1850  1.031  0.030  0.506  T
0.1900  1.028  -0.013  0.471  T
0.1950  1.438  -0.010  0.559  T
0.2000  1.237  0.017  0.665  T
0.2050  2.531  -0.014  0.642  T
0.2100  4.508  -0.008  0.619  T
0.2150  4.050  0.000  0.580  T
0.2200  0.619  -0.034  0.575  T
0.2250  1.454  0.026  0.649  T
0.2300  1.073  0.013  0.558  T
0.2350  2.334  0.007  0.592  T
0.2400  4.502  -0.038  0.530  T
0.2450  1.521  -0.003  0.573  T
0.2500  1.215  0.014  0.542  T
0.2550  0.822  0.009  0.558  T
0.2600  0.532  0.000  0.536  T
0.2650  0.811  -0.053  0.553  T
0.2700  0.930  0.001  0.565  T
0.2750  0.419  0.037  0.594  T
0.2800  0.456  -0.056  0.536  T
0.2850  1.204  -0.045  0.593  T
0.2900  0.750  -0.044  0.608  T
0.2950  1.918  -0.059  0.590  T
0.3000  4.115  0.011  0.551  T
0.3050  3.828  0.031  0.605  T
0.3100  2.816  0.026  0.611  T
0.3150  1.422  -0.002  0.543  T
0.3200  2.662  0.018  0.631  T
0.3250  1.600  -0.016  0.592  T
0.3300  1.208  -0.026  0.588  T
0.3350  3.046  0.048  0.661  T
0.3400  4.508  -0.025  0.500  T
0.3450  2.428  0.026  0.586  T
0.3500  0.825  -0.021  0.652  T
0.3550  1.172  0.044  0.603  T
0.3600  1.585  -0.049  0.540  T
0.3650  2.266  0.035  0.539  T
0.3700  2.323  -0.006  0.521  T
0.3750  5.125  -0.036  0.558  T
0.3800  2.656  -0.037  0.547  T
0.3850  1.008  -0.041  0.487  T
0.3900  0.818  -0.009  0.529  T
0.3950  0.293  -0.119  0.609  T
0.4000  1.001  0.012  0.576  T
0.4050  0.721  -0.004  0.641  T
0.4100  3.661  -0.008  0.538  T
0.4150  6.434  0.013  0.661  T
0.4200  3.535  0.034  0.536  T
0.4250  2.709  -0.034  0.506  T
0.4300  0.623  -0.040  0.558  T
0.4350  0.195  -0.009  0.487  T
0.4400  0.790  -0.008  0.522  T
