# V.34 Phase 3 segment timeline
# sym_rate=3000  fc=1800
# columns: offset_ms  segment  n_symbols  duration_ms
     0.000  TRN/J_a/SCR         330     110.000
   110.000  PP (6×48T)          156      52.000
   162.000  TRN/J_a/SCR        1980     660.000
   822.000  PP (6×48T)          156      52.000
   874.000  TRN/J_a/SCR         264      88.000
   962.000  PP (6×48T)           36      12.000
   974.000  TRN/J_a/SCR         168      56.000
  1030.000  PP (6×48T)           24       8.000
  1038.000  TRN/J_a/SCR          24       8.000
  1046.000  PP (6×48T)          120      40.000
  1086.000  TRN/J_a/SCR          48      16.000
  1102.000  PP (6×48T)           12       4.000
  1106.000  TRN/J_a/SCR          36      12.000
  1118.000  PP (6×48T)          108      36.000
  1154.000  TRN/J_a/SCR        2700     900.000
  2054.000  PP (6×48T)           72      24.000
  2078.000  TRN/J_a/SCR          84      28.000
  2106.000  PP (6×48T)           36      12.000
  2118.000  TRN/J_a/SCR          36      12.000
  2130.000  PP (6×48T)           24       8.000
  2138.000  TRN/J_a/SCR         612     204.000
  2342.000  PP (6×48T)           48      16.000
  2358.000  TRN/J_a/SCR          48      16.000
  2374.000  PP (6×48T)          180      60.000
  2434.000  TRN/J_a/SCR         197      65.667
