# V.34 Phase 3 baseband IQ symbols
# sym_rate=2400  fc=1800  t0=9.476  t1=13.28
# columns: sym_idx  time_ms  I  Q  s_score  pp_score  label
     0      0.000  +0.001247  +0.001689  0.000  0.000  T
     1      0.417  -0.000621  -0.000371  0.000  0.000  T
     2      0.833  +0.006376  -0.004733  0.000  0.000  T
     3      1.250  -0.013818  -0.003453  0.000  0.000  T
     4      1.667  -0.007660  -0.005526  0.000  0.000  T
     5      2.083  -0.700483  +0.070466  0.000  0.000  T
     6      2.500  -0.778383  -0.650993  0.000  0.000  T
     7      2.917  -0.646401  -0.445496  0.000  0.000  T
     8      3.333  -0.655762  -0.605771  0.000  0.000  T
     9      3.750  -0.615915  -0.590999  0.000  0.000  T
    10      4.167  -0.543269  -0.666510  0.000  0.000  T
    11      4.583  -0.518969  -0.677336  0.000  0.000  T
    12      5.000  -0.455063  -0.734345  0.000  0.000  T
    13      5.417  -0.396716  -0.757298  0.000  0.000  T
    14      5.833  -0.341170  -0.805227  0.000  0.000  T
    15      6.250  -0.277008  -0.812587  0.000  0.000  T
    16      6.667  -0.231586  -0.837522  0.000  0.000  T
    17      7.083  -0.163749  -0.834762  0.000  0.000  T
    18      7.500  -0.091269  -0.848249  0.000  0.000  T
    19      7.917  -0.039036  -0.860455  0.000  0.000  T
    20      8.333  +0.031573  -0.846221  0.000  0.000  T
    21      8.750  +0.092964  -0.853562  0.000  0.000  T
    22      9.167  +0.163044  -0.847483  0.000  0.000  T
    23      9.583  +0.219449  -0.826598  0.000  0.000  T
    24     10.000  +0.290686  -0.818366  0.000  0.000  T
    25     10.417  +0.350665  -0.800803  0.000  0.000  T
    26     10.833  +0.409988  -0.755152  0.000  0.000  T
    27     11.250  +0.464579  -0.733334  0.000  0.000  T
    28     11.667  +0.503201  -0.670269  0.000  0.000  T
    29     12.083  +0.562196  -0.642104  0.000  0.000  T
    30     12.500  +0.618656  -0.591242  0.000  0.000  T
    31     12.917  +0.669898  -0.548579  0.000  0.000  T
    32     13.333  +0.704105  -0.506333  0.016  0.000  T
    33     13.750  +0.729038  -0.453415  0.016  0.000  T
    34     14.167  +0.758205  -0.383099  0.000  0.000  T
    35     14.583  +0.784412  -0.334185  0.000  0.000  T
    36     15.000  +0.821227  -0.280074  0.000  0.000  T
    37     15.417  +0.820928  -0.205019  0.000  0.000  T
    38     15.833  +0.840731  -0.147136  0.000  0.000  T
    39     16.250  +0.856374  -0.089229  0.000  0.000  T
    40     16.667  +0.847304  -0.023861  0.000  0.000  T
    41     17.083  +0.860313  +0.034996  0.000  0.000  T
    42     17.500  +0.863455  +0.107059  0.000  0.000  T
    43     17.917  +0.833512  +0.164674  0.000  0.000  T
    44     18.333  +0.811736  +0.233193  0.000  0.000  T
    45     18.750  +0.800568  +0.290717  0.000  0.000  T
    46     19.167  +0.785298  +0.351466  0.000  0.000  T
    47     19.583  +0.750179  +0.413870  0.000  0.000  T
    48     20.000  +0.704265  +0.464726  0.000  0.000  T
    49     20.417  +0.684824  +0.525677  0.000  0.000  T
    50     20.833  +0.632364  +0.569898  0.000  0.000  T
    51     21.250  +0.589976  +0.629012  0.000  0.000  T
    52     21.667  +0.541077  +0.657059  0.000  0.000  T
    53     22.083  +0.489478  +0.690933  0.000  0.000  T
    54     22.500  +0.436613  +0.728782  0.000  0.000  T
    55     22.917  +0.376014  +0.759257  0.000  0.000  T
    56     23.333  +0.330235  +0.790283  0.000  0.000  T
    57     23.750  +0.278052  +0.815969  0.000  0.000  T
    58     24.167  +0.199432  +0.825046  0.000  0.000  T
    59     24.583  +0.143531  +0.841879  0.000  0.000  T
    60     25.000  +0.086976  +0.854647  0.000  0.000  T
    61     25.417  +0.020999  +0.852271  0.000  0.000  T
    62     25.833  -0.041964  +0.864625  0.000  0.000  T
    63     26.250  -0.102108  +0.860784  0.000  0.000  T
    64     26.667  -0.165285  +0.834743  0.000  0.000  T
    65     27.083  -0.231253  +0.811790  0.000  0.000  T
    66     27.500  -0.296108  +0.799966  0.000  0.000  T
    67     27.917  -0.349370  +0.785718  0.000  0.000  T
    68     28.333  -0.415291  +0.750790  0.000  0.000  T
    69     28.750  -0.469353  +0.703948  0.016  0.000  T
    70     29.167  -0.521763  +0.685864  0.031  0.000  T
    71     29.583  -0.570829  +0.633688  0.031  0.000  T
    72     30.000  -0.625064  +0.590641  0.031  0.000  T
    73     30.417  -0.677764  +0.539689  0.031  0.000  T
    74     30.833  -0.707554  +0.492356  0.031  0.000  T
    75     31.250  -0.719026  +0.436499  0.031  0.000  T
    76     31.667  -0.762822  +0.379406  0.031  0.000  T
    77     32.083  -0.787851  +0.315463  0.031  0.000  T
    78     32.500  -0.814254  +0.252434  0.031  0.000  T
    79     32.917  -0.826931  +0.201815  0.031  0.000  T
    80     33.333  -0.842967  +0.142020  0.031  0.000  T
    81     33.750  -0.850315  +0.075541  0.047  0.000  T
    82     34.167  -0.847292  +0.017083  0.047  0.000  T
    83     34.583  -0.853890  -0.047591  0.047  0.000  T
    84     35.000  -0.861313  -0.116309  0.062  0.000  T
    85     35.417  -0.841056  -0.169953  0.062  0.000  T
    86     35.833  -0.815009  -0.237142  0.062  0.000  T
    87     36.250  -0.796472  -0.304540  0.062  0.000  T
    88     36.667  -0.765736  -0.366733  0.078  0.000  T
    89     37.083  -0.741729  -0.420581  0.094  0.000  T
    90     37.500  -0.710244  -0.470788  0.094  0.000  T
    91     37.917  -0.673006  -0.529212  0.109  0.000  T
    92     38.333  -0.630578  -0.573909  0.109  0.000  T
    93     38.750  -0.580812  -0.630169  0.109  0.000  T
