# V.34 Phase 3 STFT sub-sequence scores
# sym_rate=3200  fc=1829
# columns: time_s  S_score  PP_score  TRN_flat  label
0.0100  42.003  -0.087  0.003  S
0.0150  42.210  0.185  0.001  S
0.0200  42.176  0.224  0.001  S
0.0250  42.167  0.240  0.001  S
0.0300  42.208  0.226  0.001  S
0.0350  38.860  -0.003  0.011  S
0.0400  14.218  0.006  0.158  S
0.0450  4.513  0.027  0.276  T
0.0500  1.825  0.014  0.338  T
0.0550  2.020  0.065  0.533  T
0.0600  2.025  0.264  0.389  P
0.0650  2.014  0.295  0.389  P
0.0700  2.011  0.151  0.519  P
0.0750  2.076  0.266  0.398  P
0.0800  1.994  0.297  0.384  P
0.0850  1.974  0.150  0.524  P
0.0900  2.040  0.263  0.399  P
0.0950  2.029  0.300  0.394  P
0.1000  2.033  0.149  0.531  T
0.1050  2.063  0.259  0.393  P
0.1100  2.023  0.303  0.386  P
0.1150  1.934  0.152  0.517  P
0.1200  2.014  0.258  0.403  P
0.1250  2.054  0.302  0.384  P
0.1300  1.642  0.025  0.513  T
0.1350  1.746  0.091  0.335  T
0.1400  1.873  0.076  0.320  T
0.1450  1.966  -0.006  0.326  T
0.1500  1.788  -0.007  0.384  T
0.1550  3.055  -0.026  0.270  T
0.1600  2.009  0.046  0.318  T
0.1650  1.623  0.002  0.325  T
0.1700  2.262  0.023  0.383  T
0.1750  2.459  -0.042  0.437  T
0.1800  2.968  0.048  0.486  T
0.1850  1.472  -0.073  0.432  T
0.1900  3.686  0.007  0.453  T
0.1950  4.567  0.093  0.450  T
0.2000  1.812  -0.114  0.421  T
0.2050  0.935  0.021  0.346  T
0.2100  0.831  -0.042  0.338  T
0.2150  1.472  -0.075  0.318  T
0.2200  2.003  -0.005  0.353  T
0.2250  1.962  -0.008  0.371  T
0.2300  2.321  0.008  0.354  T
0.2350  2.796  -0.079  0.357  T
0.2400  2.997  -0.028  0.374  T
0.2450  2.420  -0.054  0.305  T
0.2500  1.139  0.005  0.369  T
0.2550  3.289  -0.046  0.391  T
0.2600  3.626  -0.003  0.396  T
0.2650  1.859  0.049  0.389  T
0.2700  1.771  0.033  0.423  T
0.2750  2.417  0.025  0.327  T
0.2800  5.952  0.042  0.312  T
0.2850  3.277  0.046  0.339  T
0.2900  2.418  -0.039  0.348  T
0.2950  5.997  -0.077  0.330  T
0.3000  4.118  -0.000  0.335  T
0.3050  2.235  -0.081  0.349  T
0.3100  0.889  -0.070  0.353  T
0.3150  0.568  0.033  0.270  T
0.3200  0.342  -0.081  0.279  T
0.3250  0.761  -0.007  0.343  T
0.3300  0.996  -0.066  0.356  T
0.3350  0.333  0.022  0.245  T
0.3400  2.181  -0.017  0.273  T
0.3450  3.155  0.121  0.360  T
0.3500  2.493  0.076  0.419  T
0.3550  1.192  -0.038  0.338  T
0.3600  2.495  -0.005  0.340  T
0.3650  2.135  0.087  0.361  T
0.3700  0.732  0.016  0.307  T
0.3750  1.401  0.033  0.373  T
0.3800  1.082  -0.023  0.338  T
0.3850  3.330  -0.054  0.318  T
0.3900  2.831  0.034  0.293  T
0.3950  0.524  -0.023  0.326  T
0.4000  0.095  0.061  0.400  T
0.4050  0.891  0.018  0.451  T
0.4100  1.501  -0.005  0.392  T
0.4150  0.215  -0.003  0.422  T
0.4200  0.236  0.002  0.330  T
0.4250  0.348  0.056  0.327  T
0.4300  2.547  -0.117  0.354  T
0.4350  4.232  0.010  0.315  T
0.4400  3.006  -0.035  0.303  T
0.4450  3.764  -0.054  0.371  T
0.4500  1.253  -0.073  0.424  T
0.4550  1.328  0.065  0.371  T
0.4600  2.586  -0.010  0.403  T
0.4650  2.544  0.030  0.417  T
0.4700  0.591  -0.069  0.341  T
0.4750  0.739  0.038  0.375  T
0.4800  2.345  -0.123  0.337  T
0.4850  2.007  0.019  0.327  T
0.4900  1.554  -0.058  0.423  T
0.4950  3.844  0.037  0.397  T
0.5000  2.114  0.080  0.384  T
0.5050  1.319  0.091  0.273  T
0.5100  2.425  0.003  0.300  T
0.5150  3.172  -0.038  0.364  T
0.5200  4.156  -0.028  0.420  T
0.5250  1.144  0.001  0.408  T
0.5300  1.106  0.085  0.369  T
0.5350  3.716  -0.053  0.327  T
0.5400  3.346  -0.002  0.314  T
0.5450  2.599  0.007  0.233  T
0.5500  1.054  -0.072  0.306  T
0.5550  0.598  -0.012  0.466  T
0.5600  0.606  -0.035  0.368  T
0.5650  0.810  -0.038  0.342  T
0.5700  0.398  -0.057  0.431  T
0.5750  2.074  -0.008  0.396  T
0.5800  3.934  0.123  0.318  T
0.5850  2.646  0.032  0.357  T
0.5900  0.377  -0.011  0.381  T
0.5950  0.712  0.016  0.430  T
0.6000  2.112  0.018  0.502  T
0.6050  1.432  -0.060  0.416  T
0.6100  1.770  0.072  0.295  T
0.6150  1.779  0.010  0.310  T
0.6200  0.959  0.002  0.399  T
0.6250  2.028  -0.036  0.320  T
0.6300  0.910  0.025  0.339  T
0.6350  1.549  0.118  0.382  T
0.6400  1.993  0.080  0.389  T
0.6450  2.352  0.032  0.322  T
0.6500  3.527  -0.039  0.312  T
0.6550  3.006  -0.050  0.262  T
0.6600  6.566  -0.073  0.297  T
0.6650  2.902  -0.048  0.364  T
0.6700  1.145  -0.106  0.306  T
0.6750  1.914  -0.039  0.280  T
0.6800  6.080  0.085  0.307  T
0.6850  6.231  -0.048  0.283  T
0.6900  3.260  0.077  0.296  T
0.6950  1.225  0.036  0.291  T
0.7000  1.695  -0.001  0.320  T
0.7050  2.704  -0.086  0.406  T
0.7100  1.090  -0.009  0.383  T
0.7150  0.668  0.057  0.391  T
0.7200  1.421  0.003  0.386  T
0.7250  0.850  0.036  0.446  T
0.7300  0.400  0.054  0.345  T
0.7350  0.894  0.092  0.358  T
0.7400  1.569  0.009  0.366  T
0.7450  1.655  0.004  0.315  T
0.7500  0.828  0.013  0.394  T
0.7550  0.907  -0.011  0.356  T
0.7600  1.351  -0.042  0.349  T
0.7650  3.829  0.130  0.349  T
0.7700  7.965  0.046  0.403  T
0.7750  4.198  -0.065  0.371  T
0.7800  1.559  0.033  0.356  T
0.7850  2.397  -0.013  0.330  T
0.7900  3.027  0.038  0.337  T
0.7950  1.729  0.124  0.421  T
0.8000  0.554  0.040  0.388  T
0.8050  1.161  -0.035  0.397  T
0.8100  1.445  0.106  0.344  T
0.8150  1.332  0.021  0.331  T
0.8200  3.012  0.017  0.365  T
0.8250  1.117  -0.071  0.331  T
0.8300  1.157  0.029  0.370  T
