# V.34 Phase 3 segment timeline
# sym_rate=3200  fc=1829
# columns: offset_ms  segment  n_symbols  duration_ms
     0.000  TRN/J_a/SCR         138      43.125
    43.125  PP (6×48T)          384     120.000
   163.125  TRN/J_a/SCR        1416     442.500
   605.625  PP (6×48T)           12       3.750
   609.375  TRN/J_a/SCR         480     150.000
   759.375  PP (6×48T)           24       7.500
   766.875  TRN/J_a/SCR          36      11.250
   778.125  PP (6×48T)           24       7.500
   785.625  TRN/J_a/SCR        5604    1751.250
  2536.875  PP (6×48T)           12       3.750
  2540.625  TRN/J_a/SCR        1056     330.000
  2870.625  PP (6×48T)           12       3.750
  2874.375  TRN/J_a/SCR         828     258.750
  3133.125  PP (6×48T)           48      15.000
  3148.125  TRN/J_a/SCR        1668     521.250
  3669.375  PP (6×48T)           12       3.750
  3673.125  TRN/J_a/SCR         419     130.938
