start_ms=11481.000000
slip_symbols=3
start_sym=4443
symbols=256
mag_ratio=1.787157
sym_evm=0.680092
diff_evm=0.746700
origin_frac=0.046875
quad_balance=0.109375
diff_balance=0.406250
i_mean=-0.023692
q_mean=-0.022345
idx	I	Q	mag	phase_deg	diff_phase_deg
4443	-0.929822	+1.643718	1.888485	+119.496	+154.683
4444	+2.051289	+0.425746	2.095005	+11.725	-107.771
4445	-1.151161	-0.245809	1.177112	-167.947	-179.672
4446	+0.631428	+0.531544	0.825373	+40.091	-151.962
4447	-0.654026	-0.293589	0.716900	-155.825	+164.084
4448	-1.626347	+0.012159	1.626393	+179.572	-24.603
4449	-0.843123	-0.797369	1.160454	-136.598	+43.831
4450	-1.435395	-1.337271	1.961799	-137.027	-0.429
4451	+2.135106	-0.657163	2.233952	-17.108	+119.919
4452	+0.274632	+2.423298	2.438810	+83.534	+100.642
4453	-0.142895	-0.644832	0.660475	-102.495	+173.971
4454	+0.255598	+0.424295	0.495335	+58.935	+161.430
4455	+0.659158	+1.768228	1.887093	+69.556	+10.621
4456	-1.936268	+0.465158	1.991357	+166.492	+96.936
4457	+0.221404	-2.526263	2.535946	-84.991	+108.517
4458	+0.225036	-0.473934	0.524648	-64.600	+20.391
4459	+1.421084	-1.439697	2.022921	-45.373	+19.228
4460	-0.065076	+0.291119	0.298304	+102.601	+147.973
4461	+0.125861	+0.102889	0.162564	+39.265	-63.335
4462	+0.350237	-0.306290	0.465274	-41.170	-80.436
4463	-0.787288	+1.715130	1.887192	+114.656	+155.827
4464	+2.077678	+0.277240	2.096093	+7.600	-107.056
4465	-1.155305	-0.170282	1.167786	-171.615	-179.216
4466	+0.654684	+0.501350	0.824599	+37.445	-150.940
4467	-0.687662	-0.259443	0.734976	-159.329	+163.226
4468	-1.621028	+0.075756	1.622797	+177.324	-23.346
4469	-0.866850	-0.750073	1.146315	-139.131	+43.545
4470	-1.523997	-1.289668	1.996449	-139.761	-0.630
4471	+2.117493	-0.733660	2.240990	-19.110	+120.651
4472	+0.374839	+2.418641	2.447515	+81.190	+100.300
4473	-0.170270	-0.601078	0.624729	-105.816	+172.994
4474	+0.267189	+0.408491	0.488113	+56.812	+162.628
4475	+0.728318	+1.755632	1.900708	+67.469	+10.657
4476	-1.912484	+0.512571	1.979981	+164.997	+97.528
4477	+0.149978	-2.519405	2.523865	-86.593	+108.410
4478	+0.205136	-0.469778	0.512613	-66.411	+20.182
4479	+1.399468	-1.477889	2.035354	-46.561	+19.850
4480	-0.040042	+0.276239	0.279126	+98.248	+144.809
4481	+0.126971	+0.104854	0.164670	+39.550	-58.698
4482	+0.358900	-0.320514	0.481184	-41.766	-81.317
4483	-0.784285	+1.720146	1.890504	+114.510	+156.277
4484	+2.082175	+0.248886	2.096997	+6.816	-107.694
4485	-1.181898	-0.161826	1.192925	-172.204	-179.020
4486	+0.667934	+0.489204	0.827923	+36.220	-151.577
4487	-0.703131	-0.249859	0.746205	-160.437	+163.343
4488	-1.622554	+0.093779	1.625262	+176.692	-22.871
4489	-0.867801	-0.749203	1.146466	-139.195	+44.113
4490	-1.481308	-1.279643	1.957488	-139.178	+0.017
4491	+2.092112	-0.726007	2.214502	-19.138	+120.040
4492	+0.361302	+2.413529	2.440423	+81.486	+100.624
4493	-0.161931	-0.632492	0.652892	-104.360	+174.153
4494	+0.302034	+0.427553	0.523475	+54.762	+159.122
4495	+0.709309	+1.766036	1.903156	+68.118	+13.356
4496	-1.918798	+0.521182	1.988320	+164.804	+96.686
4497	+0.154751	-2.557639	2.562316	-86.538	+108.658
4498	+0.199008	-0.465706	0.506444	-66.862	+19.676
4499	+1.378326	-1.495397	2.033714	-47.333	+19.529
4500	-0.045772	+0.283934	0.287599	+99.158	+146.490
4501	+0.134808	+0.106483	0.171790	+38.305	-60.853
4502	+0.345625	-0.299157	0.457112	-40.878	-79.182
4503	-0.780988	+1.718935	1.888036	+114.434	+155.312
4504	+2.077568	+0.269149	2.094929	+7.382	-107.053
4505	-1.164656	-0.170551	1.177077	-171.669	-179.050
4506	+0.666013	+0.487564	0.825404	+36.206	-152.125
4507	-0.671197	-0.250505	0.716420	-159.533	+164.260
4508	-1.623044	+0.116263	1.627203	+175.903	-24.564
4509	-0.885290	-0.749733	1.160102	-139.739	+44.358
4510	-1.498084	-1.266731	1.961852	-139.783	-0.044
4511	+2.106130	-0.744196	2.233744	-19.461	+120.322
4512	+0.359065	+2.411733	2.438316	+81.532	+100.993
4513	-0.161549	-0.640416	0.660477	-104.158	+174.310
4514	+0.267188	+0.417493	0.495671	+57.381	+161.539
4515	+0.705275	+1.750414	1.887157	+68.055	+10.673
4516	-1.925827	+0.507749	1.991638	+165.230	+97.175
4517	+0.175176	-2.530069	2.536126	-86.039	+108.731
4518	+0.217435	-0.477187	0.524390	-65.503	+20.536
4519	+1.399966	-1.459829	2.022623	-46.199	+19.304
4520	-0.061410	+0.291844	0.298235	+101.883	+148.082
4521	+0.126433	+0.101400	0.162072	+38.730	-63.153
4522	+0.346741	-0.309919	0.465058	-41.790	-80.520
4523	-0.770246	+1.722609	1.886972	+114.091	+155.882
4524	+2.080145	+0.260162	2.096351	+7.129	-106.962
4525	-1.155596	-0.162552	1.166972	-171.993	-179.122
4526	+0.657318	+0.497726	0.824499	+37.133	-150.874
4527	-0.688688	-0.255892	0.734691	-159.617	+163.250
4528	-1.621380	+0.081896	1.623447	+177.108	-23.275
4529	-0.868721	-0.748127	1.146460	-139.266	+43.626
4530	-1.527029	-1.286205	1.996532	-139.893	-0.627
4531	+2.116523	-0.736788	2.241100	-19.194	+120.699
4532	+0.376665	+2.418650	2.447804	+81.148	+100.342
4533	-0.170505	-0.601206	0.624917	-105.834	+173.018
4534	+0.267149	+0.408131	0.487790	+56.793	+162.626
4535	+0.728060	+1.755851	1.900811	+67.479	+10.686
4536	-1.912970	+0.511268	1.980113	+165.037	+97.558
4537	+0.152619	-2.519122	2.523741	-86.533	+108.430
4538	+0.205296	-0.469584	0.512500	-66.386	+20.147
4539	+1.402010	-1.475732	2.035538	-46.467	+19.918
4540	-0.040359	+0.276526	0.279456	+98.304	+144.771
4541	+0.126341	+0.105698	0.164725	+39.916	-58.388
4542	+0.359918	-0.319965	0.481579	-41.637	-81.553
4543	-0.788888	+1.718004	1.890472	+114.664	+156.301
4544	+2.082075	+0.253492	2.097450	+6.942	-107.722
4545	-1.181492	-0.164981	1.192955	-172.051	-178.992
4546	+0.667402	+0.490697	0.828377	+36.325	-151.625
4547	-0.702888	-0.250994	0.746357	-160.349	+163.327
4548	-1.623315	+0.089570	1.625785	+176.842	-22.809
4549	-0.866048	-0.751552	1.146677	-139.049	+44.109
4550	-1.477993	-1.283342	1.957404	-139.032	+0.017
4551	+2.093744	-0.721339	2.214519	-19.010	+120.022
4552	+0.356114	+2.414476	2.440596	+81.610	+100.620
4553	-0.160652	-0.632884	0.652956	-104.243	+174.147
4554	+0.300647	+0.428301	0.523288	+54.933	+159.176
4555	+0.705174	+1.767575	1.903048	+68.250	+13.318
4556	-1.920243	+0.516718	1.988550	+164.939	+96.689
4557	+0.161047	-2.557105	2.562171	-86.396	+108.665
4558	+0.200288	-0.465146	0.506435	-66.704	+19.693
4559	+1.381554	-1.491871	2.033315	-47.199	+19.505
4560	-0.046554	+0.283524	0.287320	+99.325	+146.523
4561	+0.134355	+0.106694	0.171566	+38.454	-60.871
4562	+0.346315	-0.298449	0.457172	-40.754	-79.208
4563	-0.785304	+1.717078	1.888136	+114.577	+155.331
4564	+2.076978	+0.273680	2.094932	+7.507	-107.070
4565	-1.164703	-0.173123	1.177499	-171.545	-179.052
4566	+0.665601	+0.488468	0.825606	+36.274	-152.181
4567	-0.670349	-0.251908	0.716118	-159.404	+164.322
4568	-1.623023	+0.113041	1.626955	+176.016	-24.580
4569	-0.884041	-0.751635	1.160381	-139.628	+44.356
4570	-1.495457	-1.269258	1.961481	-139.677	-0.049
4571	+2.107615	-0.740145	2.233798	-19.350	+120.327
4572	+0.354576	+2.413007	2.438920	+81.641	+100.991
4573	-0.161086	-0.640404	0.660353	-104.119	+174.240
4574	+0.265970	+0.417308	0.494860	+57.489	+161.608
4575	+0.701794	+1.751413	1.886787	+68.164	+10.675
4576	-1.926611	+0.504266	1.991511	+165.333	+97.169
4577	+0.179390	-2.530077	2.536429	-85.944	+108.723
4578	+0.218620	-0.476828	0.524557	-65.369	+20.575
4579	+1.402727	-1.457828	2.023093	-46.104	+19.266
4580	-0.061943	+0.292050	0.298546	+101.975	+148.078
4581	+0.126323	+0.101783	0.162226	+38.860	-63.115
4582	+0.347044	-0.309545	0.465035	-41.731	-80.591
4583	-0.772830	+1.721552	1.887064	+114.176	+155.907
4584	+2.079344	+0.263083	2.095920	+7.211	-106.965
4585	-1.155425	-0.164645	1.167096	-171.890	-179.101
4586	+0.656473	+0.498746	0.824443	+37.225	-150.885
4587	-0.688194	-0.257268	0.734709	-159.503	+163.272
4588	-1.621239	+0.080429	1.623232	+177.160	-23.337
4589	-0.868348	-0.748373	1.146338	-139.244	+43.596
4590	-1.525673	-1.287902	1.996589	-139.830	-0.586
4591	+2.117234	-0.734629	2.241062	-19.136	+120.695
4592	+0.374711	+2.418910	2.447761	+81.194	+100.330
4593	-0.169836	-0.601316	0.624840	-105.772	+173.034
4594	+0.266933	+0.408660	0.488115	+56.848	+162.620
4595	+0.725781	+1.756385	1.900433	+67.548	+10.701
4596	-1.913401	+0.509473	1.980067	+165.090	+97.542
4597	+0.154748	-2.519150	2.523898	-86.485	+108.425
4598	+0.205868	-0.469332	0.512498	-66.316	+20.169
4599	+1.403214	-1.474856	2.035733	-46.426	+19.890
4600	-0.040486	+0.276380	0.279329	+98.334	+144.760
4601	+0.126366	+0.105578	0.164666	+39.879	-58.455
4602	+0.359849	-0.319337	0.481111	-41.587	-81.465
4603	-0.790008	+1.717064	1.890085	+114.707	+156.293
4604	+2.081516	+0.255889	2.097186	+7.008	-107.698
4605	-1.181359	-0.165690	1.192922	-172.016	-179.025
4606	+0.666177	+0.491033	0.827590	+36.394	-151.590
4607	-0.702088	-0.251966	0.745932	-160.258	+163.349
4608	-1.623452	+0.088455	1.625860	+176.881	-22.861
4609	-0.865407	-0.751796	1.146353	-139.019	+44.100
4610	-1.477283	-1.284092	1.957360	-139.002	+0.017
4611	+2.093872	-0.719765	2.214128	-18.970	+120.032
4612	+0.354888	+2.414387	2.440330	+81.638	+100.608
4613	-0.159993	-0.632850	0.652761	-104.188	+174.174
4614	+0.300655	+0.428502	0.523457	+54.945	+159.133
4615	+0.704607	+1.767849	1.903093	+68.269	+13.324
4616	-1.920359	+0.515860	1.988439	+164.964	+96.694
4617	+0.161463	-2.557287	2.562379	-86.387	+108.649
4618	+0.200160	-0.465512	0.506720	-66.733	+19.654
