start_ms=12203.666667
slip_symbols=-1
start_sym=6611
symbols=256
mag_ratio=1.371583
sym_evm=0.823887
diff_evm=1.027590
origin_frac=0.269531
quad_balance=0.101562
diff_balance=0.820312
i_mean=+0.000060
q_mean=+0.000345
idx	I	Q	mag	phase_deg	diff_phase_deg
6611	-0.054308	+0.181596	0.189543	+106.650	-45.637
6612	+0.025800	+0.246070	0.247419	+84.015	-22.635
6613	+0.130213	+0.007253	0.130415	+3.188	-80.826
6614	+0.141313	-0.155617	0.210205	-47.758	-50.946
6615	+0.050860	-0.175565	0.182784	-73.844	-26.086
6616	-0.064541	+0.015100	0.066284	+166.832	-119.324
6617	-0.147547	+0.038894	0.152587	+165.233	-1.599
6618	-0.097212	+0.132543	0.164371	+126.258	-38.975
6619	+0.077869	+0.012590	0.078880	+9.184	-117.074
6620	+0.144004	-0.030658	0.147231	-12.019	-21.203
6621	-0.004439	-0.022159	0.022599	-101.328	-89.309
6622	-0.113344	+0.086618	0.142652	+142.613	-116.059
6623	-0.021644	+0.059144	0.062980	+110.100	-32.512
6624	+0.111385	-0.035422	0.116882	-17.641	-127.742
6625	+0.156474	-0.107835	0.190033	-34.573	-16.932
6626	+0.077421	-0.119336	0.142250	-57.026	-22.453
6627	-0.159826	-0.192415	0.250136	-129.714	-72.688
6628	-0.306669	-0.112021	0.326488	-159.934	-30.220
6629	-0.177388	+0.017400	0.178239	+174.398	-25.669
6630	+0.001844	+0.110036	0.110051	+89.040	-85.358
6631	+0.009700	+0.145793	0.146115	+86.194	-2.846
6632	+0.091243	+0.255270	0.271087	+70.331	-15.862
6633	+0.204550	-0.018538	0.205388	-5.178	-75.510
6634	+0.211003	-0.164378	0.267474	-37.920	-32.741
6635	+0.122114	-0.120542	0.171587	-44.629	-6.709
6636	+0.095555	-0.016808	0.097022	-9.976	+34.653
6637	-0.097305	-0.034019	0.103080	-160.730	-150.754
6638	-0.264495	+0.070447	0.273716	+165.086	-34.184
6639	-0.113566	+0.253851	0.278096	+114.102	-50.983
6640	+0.046962	+0.292878	0.296619	+80.890	-33.212
6641	+0.049849	+0.345790	0.349365	+81.797	+0.906
6642	+0.054548	+0.328996	0.333487	+80.586	-1.211
6643	+0.189497	+0.017167	0.190273	+5.176	-75.409
6644	+0.089615	-0.304701	0.317606	-73.611	-78.787
6645	-0.035364	-0.446353	0.447752	-94.530	-20.919
6646	-0.176300	-0.503464	0.533439	-109.299	-14.769
6647	-0.457277	-0.747279	0.876087	-121.463	-12.164
6648	-0.444921	-0.715356	0.842430	-121.880	-0.416
6649	+0.210785	-0.130322	0.247819	-31.727	+90.153
6650	+0.039907	+0.321621	0.324087	+82.927	+114.654
6651	+0.474070	+0.591259	0.757845	+51.277	-31.649
6652	+0.062817	+0.872577	0.874835	+85.882	+34.605
6653	+0.169372	+0.355884	0.394132	+64.549	-21.333
6654	-0.010577	+0.273874	0.274078	+92.212	+27.662
6655	+0.046239	+0.079695	0.092138	+59.878	-32.334
6656	-0.055436	-0.043191	0.070275	-142.077	+158.045
6657	-0.002631	-0.105292	0.105325	-91.431	+50.646
6658	-0.060419	-0.221387	0.229483	-105.265	-13.834
6659	+0.059744	-0.164772	0.175269	-70.070	+35.195
6660	-0.033582	-0.200666	0.203457	-99.501	-29.430
6661	+0.153811	-0.189469	0.244042	-50.930	+48.570
6662	+0.216923	+0.091266	0.235340	+22.818	+73.748
6663	-0.095109	+0.353956	0.366511	+105.040	+82.222
6664	-0.359107	+0.089189	0.370017	+166.052	+61.012
6665	-0.194298	+0.082981	0.211276	+156.874	-9.178
6666	-0.558779	+0.095459	0.566874	+170.305	+13.432
6667	-0.555034	-0.601941	0.818777	-132.678	+57.016
6668	+0.226225	-0.792951	0.824590	-74.077	+58.602
6669	+0.528466	-0.280452	0.598272	-27.954	+46.122
6670	+0.493702	-0.190784	0.529283	-21.128	+6.826
6671	+0.900415	+0.094869	0.905399	+6.015	+27.143
6672	+0.621905	+0.891836	1.087261	+55.111	+49.096
6673	-0.232380	+0.938806	0.967139	+103.903	+48.792
6674	-0.494670	+0.421773	0.650070	+139.548	+35.645
6675	-0.479184	+0.372596	0.606997	+142.133	+2.585
6676	-0.928304	+0.040473	0.929186	+177.504	+35.371
6677	-0.605581	-0.802219	1.005129	-127.049	+55.448
6678	+0.168939	-0.769335	0.787665	-77.615	+49.434
6679	+0.306544	-0.381808	0.489639	-51.240	+26.375
6680	+0.388656	-0.318995	0.502803	-39.378	+11.862
6681	+0.539865	+0.097063	0.548521	+10.192	+49.570
6682	+0.059142	+0.364278	0.369048	+80.778	+70.586
6683	-0.055180	-0.023097	0.059819	-157.287	+121.935
6684	+0.186610	+0.095064	0.209429	+26.995	-175.718
6685	-0.075078	+0.084861	0.113305	+131.500	+104.504
6686	+0.243253	-0.200566	0.315276	-39.506	-171.006
6687	+0.537446	+0.391333	0.664823	+36.060	+75.566
6688	-0.160982	+0.785649	0.801972	+101.580	+65.520
6689	-0.563245	+0.287988	0.632599	+152.919	+51.339
6690	-0.428377	+0.178473	0.464068	+157.382	+4.463
6691	-0.857547	-0.019084	0.857759	-178.725	+23.893
6692	-0.608898	-0.883769	1.073222	-124.566	+54.159
6693	+0.263405	-0.888473	0.926697	-73.487	+51.079
6694	+0.483788	-0.402745	0.629487	-39.777	+33.710
6695	+0.484830	-0.337956	0.590994	-34.879	+4.898
6696	+0.922316	-0.024972	0.922654	-1.551	+33.328
6697	+0.598864	+0.800568	0.999774	+53.202	+54.753
6698	-0.168095	+0.731950	0.751004	+102.934	+49.732
6699	-0.356493	+0.309618	0.472176	+139.025	+36.091
6700	-0.405122	+0.244294	0.473079	+148.909	+9.884
6701	-0.580566	-0.178336	0.607339	-162.924	+48.166
6702	-0.044298	-0.439965	0.442189	-95.749	+67.175
6703	+0.108914	-0.100666	0.148310	-42.746	+53.003
6704	+0.031314	-0.142784	0.146177	-77.630	-34.884
6705	+0.194075	-0.098865	0.217806	-26.995	+50.635
6706	+0.151926	+0.098516	0.181072	+32.961	+59.956
6707	+0.025979	+0.102871	0.106101	+75.827	+42.866
6708	+0.019817	+0.128105	0.129629	+81.206	+5.380
6709	-0.092009	+0.063076	0.111554	+145.568	+64.361
6710	+0.029444	+0.080129	0.085367	+69.824	-75.744
6711	-0.294615	+0.303690	0.423114	+134.131	+64.307
6712	-0.568000	-0.305623	0.645003	-151.717	+74.152
6713	+0.080054	-0.605941	0.611206	-82.474	+69.243
6714	+0.346534	-0.209692	0.405039	-31.179	+51.295
6715	+0.343829	-0.125290	0.365945	-20.022	+11.157
6716	+0.454736	+0.190722	0.493112	+22.754	+42.775
6717	+0.030013	+0.424116	0.425177	+85.952	+63.198
6718	-0.154906	+0.122887	0.197730	+141.575	+55.623
6719	-0.044258	+0.110007	0.118576	+111.916	-29.659
6720	-0.166384	+0.096075	0.192130	+149.997	+38.081
6721	-0.164419	-0.085316	0.185236	-152.575	+57.428
6722	-0.008713	-0.080017	0.080490	-96.214	+56.361
6723	-0.025840	+0.017113	0.030993	+146.485	-117.301
6724	-0.031668	-0.009368	0.033025	-163.521	+49.994
6725	-0.044920	+0.007586	0.045556	+170.414	-26.065
6726	-0.017322	-0.100860	0.102337	-99.745	+89.840
6727	+0.075350	-0.054367	0.092916	-35.811	+63.934
6728	+0.059924	-0.026911	0.065689	-24.184	+11.627
6729	+0.029310	+0.051142	0.058946	+60.183	+84.367
6730	-0.052471	-0.010090	0.053432	-169.115	+130.702
6731	-0.005315	-0.042309	0.042642	-97.160	+71.955
6732	+0.032744	-0.030149	0.044510	-42.637	+54.523
6733	+0.071822	+0.036318	0.080482	+26.824	+69.461
6734	+0.002856	+0.055956	0.056029	+87.078	+60.254
6735	-0.030289	+0.032938	0.044747	+132.601	+45.523
6736	-0.048179	-0.052281	0.071095	-132.662	+94.737
6737	+0.044727	-0.031154	0.054508	-34.859	+97.803
6738	+0.006417	+0.060159	0.060500	+83.911	+118.770
6739	-0.000377	+0.040678	0.040680	+90.531	+6.620
6740	-0.056306	+0.044478	0.071754	+141.694	+51.163
6741	-0.031422	-0.072758	0.079253	-113.358	+104.948
6742	+0.055078	-0.029597	0.062527	-28.252	+85.106
6743	+0.037416	-0.011574	0.039165	-17.189	+11.063
6744	+0.009176	+0.060052	0.060749	+81.312	+98.501
6745	-0.069722	-0.007992	0.070179	-173.461	+105.227
6746	-0.019336	-0.047198	0.051005	-112.278	+61.183
6747	+0.025373	-0.033911	0.042353	-53.195	+59.083
6748	+0.056840	+0.015427	0.058896	+15.185	+68.380
6749	-0.000030	+0.054077	0.054077	+90.032	+74.847
6750	-0.046034	+0.016176	0.048793	+160.639	+70.607
6751	-0.041751	-0.053291	0.067698	-128.077	+71.284
6752	+0.040134	-0.037713	0.055073	-43.219	+84.858
6753	+0.020786	+0.059023	0.062576	+70.599	+113.818
6754	+0.006034	+0.033773	0.034308	+79.870	+9.271
6755	-0.047493	+0.045905	0.066052	+135.974	+56.104
6756	-0.026835	-0.074653	0.079330	-109.772	+114.254
6757	+0.059174	-0.026051	0.064655	-23.761	+86.010
6758	+0.040505	-0.009938	0.041706	-13.785	+9.976
6759	+0.008746	+0.063496	0.064096	+82.157	+95.943
6760	-0.070929	-0.008603	0.071449	-173.084	+104.758
6761	-0.023061	-0.043187	0.048958	-118.101	+54.983
6762	+0.016056	-0.037994	0.041247	-67.091	+51.010
6763	+0.061054	+0.026567	0.066584	+23.516	+90.607
6764	-0.007455	+0.046956	0.047544	+99.021	+75.506
6765	-0.033301	+0.017998	0.037853	+151.610	+52.589
6766	-0.048205	-0.060305	0.077204	-128.637	+79.752
6767	+0.047320	-0.043934	0.064571	-42.875	+85.762
6768	+0.014299	+0.054978	0.056807	+75.421	+118.296
6769	+0.007709	+0.034219	0.035077	+77.304	+1.883
6770	-0.041252	+0.045742	0.061596	+132.045	+54.741
6771	-0.022096	-0.074192	0.077412	-106.585	+121.370
6772	+0.071626	-0.023289	0.075317	-18.012	+88.573
6773	+0.042909	-0.005246	0.043228	-6.970	+11.041
6774	+0.018608	+0.069512	0.071960	+75.014	+81.984
6775	-0.070439	+0.005469	0.070651	+175.560	+100.547
6776	-0.020282	-0.034156	0.039724	-120.702	+63.738
6777	+0.017334	-0.020237	0.026646	-49.418	+71.284
6778	+0.044522	+0.027719	0.052446	+31.906	+81.324
6779	-0.015549	+0.062273	0.064185	+104.020	+72.114
6780	-0.067599	+0.020094	0.070522	+163.445	+59.426
6781	-0.065553	-0.058028	0.087547	-138.485	+58.070
6782	+0.012177	-0.046961	0.048514	-75.463	+63.021
6783	-0.010201	+0.040030	0.041309	+104.297	+179.760
6784	-0.017068	+0.008680	0.019148	+153.044	+48.748
6785	-0.072369	+0.014194	0.073748	+168.903	+15.859
6786	-0.015942	-0.141876	0.142769	-96.411	+94.686
6787	+0.050187	-0.075117	0.090340	-56.252	+40.159
6788	+0.091825	-0.150814	0.176569	-58.664	-2.412
6789	+0.152500	+0.013130	0.153064	+4.921	+63.585
6790	+0.024147	-0.049288	0.054885	-63.899	-68.820
6791	+0.303877	-0.178193	0.352270	-30.387	+33.512
6792	+0.588494	+0.380372	0.700720	+32.877	+63.264
6793	-0.121876	+0.808439	0.817574	+98.573	+65.697
6794	-0.510010	+0.299985	0.591694	+149.536	+50.963
6795	-0.432259	+0.203990	0.477975	+154.737	+5.200
6796	-0.833401	-0.007121	0.833431	-179.510	+25.753
6797	-0.635087	-0.852073	1.062715	-126.699	+52.812
6798	+0.266027	-0.884636	0.923770	-73.263	+53.436
6799	+0.462408	-0.383953	0.601033	-39.704	+33.559
6800	+0.488740	-0.337869	0.594157	-34.656	+5.048
6801	+0.886414	-0.011327	0.886486	-0.732	+33.924
6802	+0.619397	+0.792785	1.006062	+52.000	+52.732
6803	-0.202964	+0.756194	0.782958	+105.024	+53.024
6804	-0.310261	+0.328167	0.451614	+133.393	+28.369
6805	-0.422096	+0.221386	0.476631	+152.323	+18.930
6806	-0.533939	-0.179410	0.563275	-161.427	+46.250
6807	-0.082632	-0.472001	0.479179	-99.930	+61.497
6808	+0.121308	-0.112721	0.165595	-42.899	+57.031
6809	-0.022560	-0.145063	0.146807	-98.840	-55.941
6810	+0.202655	-0.070980	0.214726	-19.303	+79.537
6811	+0.117509	+0.101546	0.155306	+40.832	+60.135
6812	+0.058280	+0.120537	0.133887	+64.196	+23.364
6813	+0.016607	+0.118373	0.119532	+82.014	+17.818
6814	-0.077393	+0.047055	0.090575	+148.700	+66.686
6815	+0.039557	+0.068901	0.079449	+60.139	-88.561
6816	-0.284130	+0.288865	0.405182	+134.527	+74.387
6817	-0.578821	-0.311813	0.657466	-151.688	+73.785
6818	+0.076940	-0.606492	0.611353	-82.770	+68.918
6819	+0.349042	-0.217633	0.411333	-31.944	+50.826
6820	+0.330726	-0.134113	0.356884	-22.073	+9.871
6821	+0.468498	+0.182788	0.502893	+21.314	+43.387
6822	+0.029226	+0.431240	0.432229	+86.123	+64.809
6823	-0.139936	+0.129612	0.190739	+137.193	+51.071
6824	-0.029100	+0.123280	0.126668	+103.281	-33.912
6825	-0.140898	+0.136755	0.196352	+135.855	+32.573
6826	-0.158233	-0.079403	0.177038	-153.352	+70.793
6827	+0.023439	-0.047819	0.053255	-63.888	+89.464
6828	-0.045428	+0.031688	0.055388	+145.103	-151.010
6829	-0.029166	+0.007170	0.030034	+166.189	+21.086
6830	-0.079008	+0.024442	0.082702	+162.810	-3.379
6831	-0.058896	-0.093357	0.110382	-122.247	+74.943
