start_ms=12203.000000
slip_symbols=-3
start_sym=6609
symbols=256
mag_ratio=1.369053
sym_evm=0.831612
diff_evm=1.009335
origin_frac=0.273438
quad_balance=0.023438
diff_balance=0.781250
i_mean=+0.002025
q_mean=-0.000472
idx	I	Q	mag	phase_deg	diff_phase_deg
6609	-0.085904	-0.145730	0.169165	-120.518	-30.385
6610	-0.073348	+0.006012	0.073594	+175.314	-64.168
6611	-0.128384	+0.139442	0.189543	+132.636	-42.678
6612	-0.116782	+0.218124	0.247419	+118.164	-14.472
6613	+0.087560	+0.096651	0.130415	+47.825	-70.339
6614	+0.209619	+0.015687	0.210205	+4.280	-43.546
6615	+0.181241	-0.023694	0.182784	-7.448	-11.728
6616	-0.037825	-0.054432	0.066284	-124.795	-117.347
6617	-0.074813	-0.132988	0.152587	-119.360	+5.435
6618	-0.146457	-0.074619	0.164371	-153.001	-33.641
6619	-0.014492	+0.077538	0.078880	+100.587	-106.412
6620	-0.000196	+0.147231	0.147231	+90.076	-10.510
6621	+0.021791	+0.005990	0.022599	+15.371	-74.705
6622	-0.004789	-0.142571	0.142652	-91.924	-107.295
6623	-0.034291	-0.052826	0.062980	-122.989	-31.065
6624	-0.052000	+0.104677	0.116882	+116.416	-120.594
6625	-0.063824	+0.178994	0.190033	+109.625	-6.792
6626	-0.022712	+0.140425	0.142250	+99.187	-10.437
6627	+0.193109	+0.158987	0.250136	+39.465	-59.723
6628	+0.310007	+0.102422	0.326488	+18.283	-21.182
6629	+0.177545	+0.015722	0.178239	+5.060	-13.222
6630	+0.045389	-0.100256	0.110051	-65.642	-70.703
6631	+0.077373	-0.123948	0.146115	-58.026	+7.616
6632	+0.119497	-0.243328	0.271087	-63.845	-5.819
6633	-0.126038	-0.162169	0.205388	-127.855	-64.010
6634	-0.238599	-0.120883	0.267474	-153.131	-25.277
6635	-0.146166	-0.089877	0.171587	-148.413	+4.719
6636	-0.022725	-0.094323	0.097022	-103.546	+44.867
6637	-0.039140	+0.095360	0.103080	+112.316	-144.139
6638	+0.008767	+0.273575	0.273716	+88.165	-24.151
6639	+0.215509	+0.175766	0.278096	+39.200	-48.964
6640	+0.286161	+0.078069	0.296619	+15.260	-23.940
6641	+0.305724	+0.169082	0.349365	+28.945	+13.685
6642	+0.259594	+0.209344	0.333487	+38.884	+9.939
6643	+0.169547	-0.086358	0.190273	-26.992	-65.876
6644	-0.046926	-0.314120	0.317606	-98.497	-71.505
6645	-0.191780	-0.404601	0.447752	-115.361	-16.864
6646	-0.304024	-0.438323	0.533439	-124.746	-9.385
