start_ms=11061.000000
slip_symbols=3
start_sym=3183
symbols=256
mag_ratio=1.787141
sym_evm=0.680085
diff_evm=0.746706
origin_frac=0.046875
quad_balance=0.109375
diff_balance=0.406250
i_mean=+0.022345
q_mean=-0.023695
idx	I	Q	mag	phase_deg	diff_phase_deg
3183	-1.643382	-0.929406	1.887988	-150.510	+154.689
3184	-0.426023	+2.051386	2.095156	+101.732	-107.758
3185	+0.245704	-1.151249	1.177177	-77.952	-179.685
3186	-0.531322	+0.631736	0.825466	+130.066	-151.982
3187	+0.293563	-0.653817	0.716698	-65.820	+164.114
3188	-0.011942	-1.626693	1.626736	-90.421	-24.601
3189	+0.797384	-0.843375	1.160648	-46.606	+43.815
3190	+1.337660	-1.435392	1.962061	-47.018	-0.413
3191	+0.657132	+2.135117	2.233953	+72.893	+119.911
3192	-2.423397	+0.274566	2.438902	+173.536	+100.643
3193	+0.645040	-0.142771	0.660651	-12.480	+173.983
3194	-0.424566	+0.255784	0.495663	+148.933	+161.413
3195	-1.768462	+0.659106	1.887294	+159.560	+10.627
3196	-0.465068	-1.936530	1.991592	-103.504	+96.936
3197	+2.526270	+0.221789	2.535987	+5.017	+108.521
3198	+0.473893	+0.225012	0.524600	+25.399	+20.382
3199	+1.439806	+1.421005	2.022942	+44.623	+19.224
3200	-0.291246	-0.064881	0.298386	-167.441	+147.935
3201	-0.102611	+0.125361	0.162001	+129.301	-63.257
3202	+0.306095	+0.350038	0.464996	+48.831	-80.470
3203	-1.714866	-0.787090	1.886870	-155.346	+155.823
3204	-0.277530	+2.077947	2.096398	+97.607	-107.047
3205	+0.170073	-1.154927	1.167382	-81.623	-179.230
3206	-0.501592	+0.654266	0.824414	+127.476	-150.902
3207	+0.259818	-0.687668	0.735115	-69.302	+163.222
3208	-0.075768	-1.621182	1.622952	-92.676	-23.374
3209	+0.750340	-0.866592	1.146295	-49.112	+43.564
3210	+1.289349	-1.524213	1.996409	-49.772	-0.659
3211	+0.734135	+2.117388	2.241045	+70.878	+120.649
3212	-2.418914	+0.374828	2.447783	+171.192	+100.314
3213	+0.600712	-0.170163	0.624348	-15.816	+172.993
3214	-0.408271	+0.267085	0.487872	+146.808	+162.624
3215	-1.755337	+0.728555	1.900527	+157.459	+10.651
3216	-0.513178	-1.912466	1.980120	-105.021	+97.520
3217	+2.519612	+0.150036	2.524075	+3.408	+108.428
3218	+0.469562	+0.204696	0.512239	+23.554	+20.146
3219	+1.478267	+1.399644	2.035749	+43.435	+19.881
3220	-0.276200	-0.039794	0.279052	-171.801	+144.764
3221	-0.105018	+0.127005	0.164800	+129.587	-58.612
3222	+0.320161	+0.359261	0.481218	+48.294	-81.293
3223	-1.720044	-0.784685	1.890577	-155.478	+156.229
3224	-0.248504	+2.081719	2.096499	+96.807	-107.715
3225	+0.162030	-1.181431	1.192491	-82.191	-178.998
3226	-0.489104	+0.667919	0.827851	+126.215	-151.595
3227	+0.249528	-0.702403	0.745409	-70.442	+163.343
3228	-0.094477	-1.622768	1.625516	-93.332	-22.890
3229	+0.749182	-0.868173	1.146733	-49.208	+44.124
3230	+1.279403	-1.481200	1.957250	-49.181	+0.027
3231	+0.726325	+2.091519	2.214046	+70.849	+120.030
3232	-2.413250	+0.361513	2.440178	+171.480	+100.631
3233	+0.632674	-0.162212	0.653138	-14.380	+174.139
3234	-0.427766	+0.301821	0.523526	+144.794	+159.175
3235	-1.765833	+0.709119	1.902897	+158.121	+13.327
3236	-0.520945	-1.918601	1.988068	-105.191	+96.688
3237	+2.557544	+0.155084	2.562242	+3.470	+108.661
3238	+0.465356	+0.199242	0.506215	+23.178	+19.708
3239	+1.495561	+1.378069	2.033661	+42.659	+19.480
3240	-0.283647	-0.045553	0.287282	-170.876	+146.465
3241	-0.106591	+0.134860	0.171898	+128.322	-60.801
3242	+0.299192	+0.345577	0.457099	+49.115	-79.208
3243	-1.719376	-0.780765	1.888345	-155.577	+155.308
3244	-0.268991	+2.077383	2.094726	+97.378	-107.045
3245	+0.170400	-1.164805	1.177203	-81.677	-179.055
3246	-0.487391	+0.666039	0.825323	+126.196	-152.127
3247	+0.250862	-0.671374	0.716712	-69.512	+164.293
3248	-0.116258	-1.622622	1.626782	-94.098	-24.587
3249	+0.749770	-0.885458	1.160255	-49.743	+44.355
3250	+1.266582	-1.497868	1.961591	-49.782	-0.039
3251	+0.744175	+2.106144	2.233750	+70.540	+120.322
3252	-2.412170	+0.359059	2.438747	+171.534	+100.994
3253	+0.640412	-0.161787	0.660532	-14.178	+174.289
3254	-0.417334	+0.266871	0.495366	+147.402	+161.580
3255	-1.750583	+0.704922	1.887182	+158.066	+10.664
3256	-0.507300	-1.925745	1.991444	-104.758	+97.175
3257	+2.529909	+0.175134	2.535964	+3.960	+108.718
3258	+0.477495	+0.217637	0.524755	+24.503	+20.543
3259	+1.459939	+1.400475	2.023055	+43.809	+19.306
3260	-0.292057	-0.061525	0.298467	-168.104	+148.087
3261	-0.101250	+0.126369	0.161927	+128.703	-63.194
3262	+0.309936	+0.346881	0.465174	+48.219	-80.483
3263	-1.722914	-0.770010	1.887153	-155.919	+155.862
3264	-0.260355	+2.080010	2.096241	+97.135	-106.946
3265	+0.162649	-1.155868	1.167256	-81.990	-179.125
3266	-0.497788	+0.657245	0.824478	+127.140	-150.870
3267	+0.256064	-0.688678	0.734742	-69.604	+163.256
3268	-0.081911	-1.621462	1.623529	-92.892	-23.288
3269	+0.748026	-0.868620	1.146318	-49.266	+43.626
3270	+1.286324	-1.527209	1.996746	-49.894	-0.627
3271	+0.736865	+2.116338	2.240950	+70.803	+120.696
3272	-2.418404	+0.377104	2.447628	+171.137	+100.334
3273	+0.600706	-0.170550	0.624448	-15.850	+173.013
3274	-0.408489	+0.267197	0.488116	+146.811	+162.661
3275	-1.755736	+0.727752	1.900588	+157.486	+10.675
3276	-0.511130	-1.912800	1.979914	-104.961	+97.553
3277	+2.519378	+0.152680	2.524000	+3.468	+108.429
3278	+0.469357	+0.205253	0.512274	+23.620	+20.152
3279	+1.476355	+1.401750	2.035811	+43.515	+19.895
3280	-0.276477	-0.040097	0.279369	-171.748	+144.737
3281	-0.105362	+0.126474	0.164611	+129.797	-58.455
3282	+0.319705	+0.359775	0.481299	+48.375	-81.422
3283	-1.718195	-0.788538	1.890499	-155.348	+156.277
3284	-0.253946	+2.081645	2.097078	+96.955	-107.697
3285	+0.164434	-1.181621	1.193007	-82.078	-179.033
3286	-0.490627	+0.666667	0.827744	+126.351	-151.572
3287	+0.251440	-0.702471	0.746115	-70.306	+163.343
3288	-0.089492	-1.622929	1.625395	-93.156	-22.850
3289	+0.751422	-0.866021	1.146572	-49.053	+44.104
3290	+1.283648	-1.478080	1.957670	-49.027	+0.026
3291	+0.721224	+2.093530	2.214279	+70.991	+120.018
3292	-2.414356	+0.355983	2.440459	+171.612	+100.621
3293	+0.632980	-0.160429	0.652994	-14.222	+174.165
3294	-0.428153	+0.301076	0.523414	+144.885	+159.107
3295	-1.768169	+0.705064	1.903559	+158.260	+13.375
3296	-0.516590	-1.920143	1.988420	-105.058	+96.682
3297	+2.557128	+0.160516	2.562161	+3.592	+108.650
3298	+0.465185	+0.200406	0.506517	+23.307	+19.715
3299	+1.492164	+1.381484	2.033483	+42.794	+19.488
3300	-0.283539	-0.046229	0.287283	-170.740	+146.466
3301	-0.106897	+0.134435	0.171755	+128.490	-60.770
3302	+0.298650	+0.346576	0.457500	+49.248	-79.242
3303	-1.717201	-0.785715	1.888419	-155.413	+155.339
3304	-0.273842	+2.076809	2.094786	+97.512	-107.075
3305	+0.173283	-1.164368	1.177191	-81.535	-179.047
3306	-0.489253	+0.665327	0.825850	+126.329	-152.136
3307	+0.251898	-0.671188	0.716900	-69.429	+164.242
3308	-0.112809	-1.622797	1.626713	-93.977	-24.548
3309	+0.751648	-0.884194	1.160506	-49.632	+44.344
3310	+1.269578	-1.495525	1.961740	-49.671	-0.039
3311	+0.740432	+2.107655	2.233931	+70.643	+120.315
3312	-2.412837	+0.355176	2.438838	+171.626	+100.983
3313	+0.640634	-0.160989	0.660552	-14.106	+174.268
3314	-0.417601	+0.266856	0.495583	+147.421	+161.527
3315	-1.751928	+0.701850	1.887285	+158.168	+10.748
3316	-0.504567	-1.926769	1.991740	-104.675	+97.157
3317	+2.530216	+0.178783	2.536524	+4.042	+108.716
3318	+0.476854	+0.218309	0.524450	+24.599	+20.557
3319	+1.458075	+1.402954	2.023428	+43.896	+19.297
3320	-0.292403	-0.062110	0.298927	-168.008	+148.096
3321	-0.101117	+0.126549	0.161986	+128.626	-63.366
3322	+0.308961	+0.347250	0.464800	+48.339	-80.287
3323	-1.721526	-0.773068	1.887137	-155.817	+155.844
3324	-0.263658	+2.079282	2.095932	+97.227	-106.956
3325	+0.164776	-1.155672	1.167359	-81.885	-179.112
3326	-0.498584	+0.656411	0.824294	+127.219	-150.896
3327	+0.257200	-0.688193	0.734684	-69.508	+163.274
3328	-0.079998	-1.621473	1.623445	-92.824	-23.317
3329	+0.748919	-0.867855	1.146321	-49.207	+43.617
3330	+1.287810	-1.525332	1.996270	-49.826	-0.619
3331	+0.734226	+2.117187	2.240886	+70.874	+120.700
3332	-2.418809	+0.374633	2.447649	+171.196	+100.322
3333	+0.601076	-0.170015	0.624658	-15.794	+173.011
3334	-0.408617	+0.266951	0.488089	+146.843	+162.637
3335	-1.756118	+0.726234	1.900359	+157.533	+10.689
3336	-0.509698	-1.913460	1.980182	-104.916	+97.552
3337	+2.519583	+0.154754	2.524331	+3.515	+108.431
3338	+0.468979	+0.205923	0.512197	+23.706	+20.191
3339	+1.474956	+1.402963	2.035633	+43.567	+19.861
3340	-0.276352	-0.040789	0.279346	-171.604	+144.829
3341	-0.105548	+0.126472	0.164728	+129.847	-58.549
3342	+0.319273	+0.360071	0.481234	+48.437	-81.410
3343	-1.717548	-0.790361	1.890672	-155.290	+156.274
3344	-0.255278	+2.081480	2.097075	+96.992	-107.718
3345	+0.165732	-1.181143	1.192714	-82.013	-179.005
3346	-0.491393	+0.666524	0.828083	+126.399	-151.588
3347	+0.252032	-0.702466	0.746310	-70.263	+163.338
3348	-0.088822	-1.623196	1.625624	-93.132	-22.869
3349	+0.752048	-0.865214	1.146373	-49.003	+44.129
3350	+1.284155	-1.477457	1.957532	-49.004	-0.001
3351	+0.720318	+2.094303	2.214715	+71.020	+120.024
3352	-2.414599	+0.354959	2.440550	+171.637	+100.617
3353	+0.632656	-0.160554	0.652710	-14.240	+174.123
3354	-0.428243	+0.300610	0.523219	+144.933	+159.172
3355	-1.768456	+0.704031	1.903443	+158.292	+13.360
3356	-0.515604	-1.920674	1.988677	-105.027	+96.681
3357	+2.557039	+0.161670	2.562145	+3.618	+108.644
3358	+0.465469	+0.200474	0.506805	+23.301	+19.683
3359	+1.491712	+1.382584	2.033898	+42.826	+19.525
3360	-0.284036	-0.045925	0.287725	-170.816	+146.359
3361	-0.106823	+0.133995	0.171364	+128.562	-60.622
3362	+0.298497	+0.346765	0.457544	+49.278	-79.285
3363	-1.717146	-0.786544	1.888714	-155.390	+155.332
3364	-0.274861	+2.076692	2.094803	+97.540	-107.071
3365	+0.173395	-1.164551	1.177389	-81.531	-179.071
3366	-0.488923	+0.664975	0.825372	+126.325	-152.144
3367	+0.252659	-0.670628	0.716644	-69.356	+164.319
3368	-0.112045	-1.622838	1.626701	-93.950	-24.593
3369	+0.751869	-0.883583	1.160184	-49.604	+44.345
3370	+1.269939	-1.495049	1.961611	-49.654	-0.050
3371	+0.739392	+2.107865	2.233785	+70.670	+120.325
3372	-2.412795	+0.354095	2.438640	+171.651	+100.981
3373	+0.640717	-0.160457	0.660504	-14.060	+174.289
3374	-0.417839	+0.266322	0.495497	+147.487	+161.547
